ID	Concept	Concepticon_Gloss	Concepticon_ID	Proto_ID
hunger	hunger	HUNGER	1864	
hunt	hunt	HUNT	1435	
husband	husband	HUSBAND	1200	25_girardprototakanan
husbandman	husband, man			§76_oliveiraprotopanoan
i	i	I	1209	§11_oliveiraprotopanoan, 11_girardprotopanotakanan
igarape	igarapé			§478_oliveiraprotopanoan
iguana	iguana	IGUANA	1578	351_girardprototakanan
imperative	imperative			
imperativesuffix	imperative suffix			240_girardprototakanan, 43_girardprotopanotakanan
adentroen	in	IN	1460	140_girardprototakanan
infrontofabovetheriver	in front of, above the river			§362_oliveiraprotopanoan
increase	increase	INCREASE	1041	
ingestsoftfood	ingest soft food			§192_oliveiraprotopanoan
insect	insect	INSECT	620	§106_oliveiraprotopanoan
inside	inside	INSIDE	1606	§261_oliveiraprotopanoan
interrogacion	interrogación			3_girardprototakanan
intestines	intestines	INTESTINES	1991	90_girardprotopanotakanan
intestinesbelly	intestines, belly			§341_oliveiraprotopanoan
intransitivesuffixofconcordance	intransitive suffix of concordance			§6_oliveiraprotopanoan
isla	island	ISLAND	622	492_girardprototakanan
itchtoitch	itch	ITCH	148	§422_oliveiraprotopanoan
izquierdozurdo	izquierdo,zurdo			182_girardprototakanan
jacamimspeciesofbord	jacamim (species of bord)			§268_oliveiraprotopanoan
jacuu	jacuú			415_girardprototakanan
tigre	jaguar	JAGUAR	1250	152_girardprototakanan
japubirdoffamicteridae	japu (bird of fam. icteridae)			§24_oliveiraprotopanoan
japutamu	japutamu			167_girardprototakanan
jaw	jaw	JAW	798	§188_oliveiraprotopanoan, 184_girardprototakanan
jefejuez	jefe,juez			235_girardprototakanan
jochicolorado	jochi colorado			260_girardprototakanan
jochipintado	jochi pintado			42_girardprototakanan
join	join	JOIN	1743	501_girardprototakanan
jump	jump	JUMP	1829	
juntaramontonaracarrear	juntar,amontonar,acarrear			365_girardprototakanan
juntosambos	juntos,ambos			399_girardprototakanan
mapajo	kapok tree	KAPOK TREE	2499	92_girardprotopanotakanan
keepholdinginarms	keep holding in arms			§18a_oliveiraprotopanoan
kidney	kidney	KIDNEY	489	331_girardprototakanan
kill	kill	KILL	1417	§360_oliveiraprotopanoan, 414_girardprototakanan
kneadhitstrike	knead, hit, strike			§118_oliveiraprotopanoan
knee	knee	KNEE	1371	§354_oliveiraprotopanoan, §359_oliveiraprotopanoan, 37_girardprotopanotakanan
kneel	kneel	KNEEL	66	
knowsomething	know (something)	KNOW (SOMETHING)	1410	27_girardprototakanan
lagartocaiman	lagarto,caiman			279_girardprototakanan
lake	lake	LAKE	624	§14_oliveiraprotopanoan, 28_girardprototakanan, 19_girardprotopanotakanan
language	language	LANGUAGE	1307	
largeend	large end			31_girardprotopanotakanan
laugh	laugh	LAUGH	1355	§37_oliveiraprotopanoan, 90_girardprototakanan
lazy	lazy	LAZY	1564	
leaf	leaf	LEAF	628	
leaftofan	leaf,to fan			
tolearn	learn	LEARN	504	§35_oliveiraprotopanoan
skinleather	leather or hide	LEATHER OR HIDE	3326	§88_oliveiraprotopanoan
leave	leave	LEAVE	1752	§133_oliveiraprotopanoan
left	left	LEFT	244	
leg	leg	LEG	1297	398_girardprototakanan
lick	lick	LICK	319	106_girardprototakanan
liemislead	lie (mislead)	LIE (MISLEAD)	601	§119_oliveiraprotopanoan
liedown	lie down	LIE DOWN	215	§356_oliveiraprotopanoan, 374_girardprototakanan
lift	lift	LIFT	501	
lightignite	light (ignite)	LIGHT (IGNITE)	737	433_girardprototakanan
lightradiation	light (radiation)	LIGHT (RADIATION)	630	444_girardprototakanan
lightweight	light (weight)	LIGHT (WEIGHT)	1052	
lightning	lightning	LIGHTNING	1654	§167_oliveiraprotopanoan
ligoso	ligoso			347_girardprototakanan
lip	lip	LIP	478	§157_oliveiraprotopanoan
lipedge	lip,edge			
liquidwater	liquid	LIQUID	58	§131_oliveiraprotopanoan
liver	liver	LIVER	1224	§438_oliveiraprotopanoan, 403_girardprototakanan, 104_girardprotopanotakanan
lizard	lizard	LIZARD	632	47_girardprototakanan
llevarcargarabrazar	llevar,cargar,abrazar			273_girardprototakanan
locativeablativesuffix	locative ablative suffix			§183_oliveiraprotopanoan
locativesuffix	locative suffix			395_girardprototakanan
long	long	LONG	1203	31_girardprototakanan
look	look	LOOK	1819	§33_oliveiraprotopanoan
lookfor	look for	LOOK FOR	1468	
louse	louse	LOUSE	1392	§13_oliveiraprotopanoan, 63_girardprototakanan
love	love	LOVE	923	§289_oliveiraprotopanoan
lowerpartofleg	lower leg	LOWER LEG	447	§481_oliveiraprotopanoan
lung	lung	LUNG	688	
blackstripedcapuchin	black-striped capuchin	MACAW	1630	52_girardprotopanotakanan
maduraramarillo	madurar,amarillo			384_girardprototakanan
maize	maize	MAIZE	506	§409_oliveiraprotopanoan, 191_girardprototakanan, 116_girardprotopanotakanan
majillopalmera	majillo (palmera)			268_girardprototakanan
domake	make	MAKE	734	1_girardprotopanotakanan
todry	make dry	MAKE DRY	2015	73_girardprotopanotakanan
man	male person	MALE PERSON	2106	§77_oliveiraprotopanoan
man	man	MAN	1554	135_girardprototakanan
many	many	MANY	1198	§27_oliveiraprotopanoan
marfilpalmera	marfil (palmera)			447_girardprototakanan
marihui	marihuí			113_girardprototakanan, 95_girardprotopanotakanan
marimono	marimono			74_girardprototakanan
marry	marry	MARRY	203	
martimpescardor	martim pescardor			§122_oliveiraprotopanoan
martinpescadorave	martin pescador (ave)			261_girardprototakanan
mat	mat	MAT	195	§335_oliveiraprotopanoan
maternalaunt	maternal aunt (mother's sister)	MATERNAL AUNT (MOTHER'S SISTER)	2693	§189_oliveiraprotopanoan
maternaluncle	maternal uncle (mother's brother)	MATERNAL UNCLE (MOTHER'S BROTHER)	2692	§191_oliveiraprotopanoan
mananaayer	mañana,ayer			290_girardprototakanan
meat	meat	MEAT	634	§258_oliveiraprotopanoan, 78_girardprotopanotakanan
medicine	medicine	MEDICINE	1372	§350_oliveiraprotopanoan, 154_girardprototakanan
meet	meet	MEET	1831	§241_oliveiraprotopanoan
melero	melero			80_girardprototakanan
menstruate	menstruate	MENSTRUATE	2827	
metal	metal	METAL	2244	§215_oliveiraprotopanoan
meterentrar	meter,entrar			321_girardprototakanan
mightyorpowerfulorstrong	mighty or powerful or strong	MIGHTY OR POWERFUL OR STRONG	3188	
milk	milk	MILK	635	
miritipalm	miriti palm	MIRITI PALM	3811	§93_oliveiraprotopanoan
tofeellonging	miss (somebody)	MISS (SOMEBODY)	2328	§217_oliveiraprotopanoan
mix	mix	MIX	2017	452_girardprototakanan
mojar	mojar			89_girardprototakanan
molartooth	molar tooth	MOLAR TOOTH	1049	1_girardprototakanan
molertocar	moler,tocar			144_girardprototakanan
monkey	monkey	MONKEY	1350	38_girardprotopanotakanan
monomanechi	mono manechi			148_girardprototakanan
mononocturno	mono nocturno			136_girardprototakanan
monosilbador	mono silbador			394_girardprototakanan
moon	moon	MOON	1313	§39_oliveiraprotopanoan, 37_girardprototakanan
moonsun	moon, sun			
morning	morning	MORNING	1339	
choppermortar	mortar	MORTAR	224	66_girardprotopanotakanan
mosquito	mosquito	MOSQUITO	1509	§90_oliveiraprotopanoan, 137_girardprototakanan
motacucillo	motacucillo			10_girardprototakanan
motacu	motacú			437_girardprototakanan
mother	mother	MOTHER	1216	228_girardprototakanan, 269_girardprototakanan, 12_girardprotopanotakanan
mountain	mountain	MOUNTAIN	639	278_girardprototakanan
mouse	mouse	MOUSE	1491	
mouth	mouth	MOUTH	674	232_girardprototakanan, 59_girardprotopanotakanan
move	move	MOVE	765	
muchomalodificil	mucho,malo,difícil			280_girardprototakanan
mud	mud	MUD	640	
rataraton	muroid (mouse or rat)	MUROID (MOUSE OR RAT)	2139	393_girardprototakanan
hongo	mushroom	MUSHROOM	641	390_girardprototakanan
musicinstrument	music instrument			§367_oliveiraprotopanoan
mute	mute	MUTE	1666	
nadamas	nada más			204_girardprototakanan
naked	naked	NAKED	590	
name	name	NAME	1405	§48_oliveiraprotopanoan, 41_girardprototakanan
narrow	narrow	NARROW	1267	
nasalmucussnot	nasal mucus (snot)	NASAL MUCUS (SNOT)	208	
nasalseptum	nasal septum			§365_oliveiraprotopanoan
navel	navel	NAVEL	1838	126_girardprototakanan
near	near	NEAR	1942	
necesito	necesito			92_girardprototakanan
neck	neck	NECK	1333	§455_oliveiraprotopanoan, 307_girardprototakanan, 349_girardprototakanan
necklace	necklace	NECKLACE	1961	168_girardprototakanan
needleforsewing	needle (for sewing)	NEEDLE (FOR SEWING)	1382	§421_oliveiraprotopanoan
negation	negation			§493_oliveiraprotopanoan, 9_girardprototakanan, 257_girardprototakanan, 61_girardprotopanotakanan
nephew	nephew	NEPHEW	1063	§327_oliveiraprotopanoan, 79_girardprototakanan, 441_girardprototakanan
nest	nest	NEST	539	§251_oliveiraprotopanoan
new	new	NEW	1231	§71_oliveiraprotopanoan
newfreshraw	new, fresh, raw			§320_oliveiraprotopanoan
night	night	NIGHT	1233	502_girardprototakanan, 71_girardprotopanotakanan, 94_girardprotopanotakanan
nightdark	night, dark			§56_oliveiraprotopanoan
no	no	NO	1269	
nominalizerforinstruments	nominalizer for instruments			§458_oliveiraprotopanoan
nominalizingagentivesuffix	nominalizing agentive suffix			357_girardprototakanan
nose	nose	NOSE	1221	472_girardprototakanan
noseholenostril	nostril	NOSTRIL	1178	§363_oliveiraprotopanoan
not	not	NOT	1240	
now	now	NOW	1376	§349_oliveiraprotopanoan
nuevoahora	nuevo,ahora			176_girardprototakanan
oar	oar	OAR	3137	§483b_oliveiraprotopanoan
obscuro	obscure	OBSCURE	1764	16_girardprototakanan
smell	odor (smell)	ODOR (SMELL)	3704	§482_oliveiraprotopanoan, §332_oliveiraprotopanoan
old	old	OLD	1229	§413_oliveiraprotopanoan, 60_girardprototakanan, 114_girardprotopanotakanan
oldman	old man	OLD MAN	406	
oldstickrottenstick	old stick, rotten stick			§445_oliveiraprotopanoan
oldwoman	old woman	OLD WOMAN	907	
olderbrother	older brother	OLDER BROTHER	1759	441_girardprototakanan
oldersister	older sister	OLDER SISTER	1758	
onearth	on earth			§208_oliveiraprotopanoan
one	one	ONE	1493	§480_oliveiraprotopanoan, 338_girardprototakanan
only	only	ONLY	1580	
open	open	OPEN	1156	186_girardprototakanan
opening	opening			§50_oliveiraprotopanoan
orillabanda	orilla,banda			266_girardprototakanan
orphan	orphan	ORPHAN	1149	
osohormigueroosoperezoso	oso hormiguero,oso perezoso			62_girardprototakanan
other	other	OTHER	197	§479_oliveiraprotopanoan
otter	otter	OTTER	15	§132_oliveiraprotopanoan, 242_girardprototakanan
outside	outside	OUTSIDE	762	
owl	owl	OWL	735	85_girardprotopanotakanan
owner	owner	OWNER	1036	§15_oliveiraprotopanoan, 285_girardprototakanan
pachiubapalmera	pachiuba (palmera)			219_girardprototakanan
pain	pain	PAIN	1783	
paintohurt	pain, to hurt			§23_oliveiraprotopanoan
par	pair	PAIR	1888	77_girardprototakanan
palabrahablarcantar	palabra,hablar,cantar			293_girardprototakanan
palizado	palizado			464_girardprototakanan
palmofhand	palm of hand	PALM OF HAND	1183	
palmera	palm tree	PALM TREE	1181	112_girardprototakanan
palmareal	palma real			64_girardprototakanan
palosanto	palo santo			13_girardprototakanan
palometapez	palometa (pez)			267_girardprototakanan
pamonha	pamonha			§247_oliveiraprotopanoan
pancho	pancho			295_girardprototakanan
papaya	papaya			§431_oliveiraprotopanoan
paraque	para qué?			3_girardprototakanan
paraba	paraba			208_girardprototakanan
parakeet	parakeet	PARAKEET	886	§329_oliveiraprotopanoan
pararpararse	parar,pararse			317_girardprototakanan
parrot	parrot	PARROT	882	§67_oliveiraprotopanoan, 224_girardprototakanan, 435_girardprototakanan
perdiz	partridge	PARTRIDGE	3681	82_girardprototakanan
pasaratravesar	pasar,atravesar			344_girardprototakanan
pascana	pascana			370_girardprototakanan
topassby	pass by	PASS BY	558	§486_oliveiraprotopanoan
pastparticiple	past participle			217_girardprototakanan
pasttense	past tense			488_girardprototakanan
pastopaja	pasto,paja			322_girardprototakanan
path	path	PATH	2252	§55_oliveiraprotopanoan, 138_girardprototakanan
peachpalm	peach palm	PEACH PALM	3919	§470_oliveiraprotopanoan
mani	peanut	PEANUT	2364	200_girardprototakanan
peel	peel	PEEL	275	§425_oliveiraprotopanoan, 353_girardprototakanan
penis	penis	PENIS	1222	251_girardprototakanan
peoplehumanbody	people, human body			§509_oliveiraprotopanoan
perdizchica	perdiz chica			478_girardprototakanan
person	person	PERSON	683	§303_oliveiraprotopanoan
sudorsudar	perspire or sweat	PERSPIRE OR SWEAT	2458	470_girardprototakanan
persuade	persuade	PERSUADE	3645	1_girardprototakanan
pickup	pick up	PICK UP	371	288_girardprototakanan
picotada	picotada			400_girardprototakanan
pieceshard	piece	PIECE	594	§179_oliveiraprotopanoan
piernafalda	pierna,falda			420_girardprototakanan
piernamuslo	pierna,muslo			420_girardprototakanan
pig	pig	PIG	1337	
pileup	pile up	PILE UP	1576	
pinch	pinch	PINCH	378	
pineapple	pineapple	PINEAPPLE	2440	§163_oliveiraprotopanoan, 51_girardprotopanotakanan
pintado	pintado			247_girardprototakanan
piranha	piranha			§212_oliveiraprotopanoan, 64_girardprotopanotakanan
pisararanar	pisar,arañar			430_girardprototakanan
piss	piss	PISS	592	
piumspeciesoffly	pium (species of fly)			§389_oliveiraprotopanoan
plain	plain	PLAIN	652	5_girardprototakanan
plantsomething	plant (something)	PLANT (SOMETHING)	1486	§61_oliveiraprotopanoan, 18_girardprotopanotakanan
plantarclavar	plantar,clavar			483_girardprototakanan
plato	plate	PLATE	480	496_girardprototakanan
play	play	PLAY	1413	
pluralsuffixnounandpronoun	plural suffix, noun and pronoun			234_girardprototakanan
pluralizer	pluralizer			§95_oliveiraprotopanoan
platanopacay	plátano,pacay			311_girardprototakanan
poisonbitter	poison, bitter			§249_oliveiraprotopanoan
pokepierceinjectdrill	poke, pierce, inject, drill			§117_oliveiraprotopanoan
porcupine	porcupine	PORCUPINE	2510	155_girardprototakanan, 6_girardprotopanotakanan
possessiveaffix	possessive affix			241_girardprototakanan
possessivesuffix	possessive suffix			375_girardprototakanan
potato	potato	POTATO	593	
pound	pound	POUND	354	40_girardprotopanotakanan
prender	prender			493_girardprototakanan
press	press	PRESS	1913	
previouseventsamesubject	previous event, same-subject			
pronominalpossessivesuffix	pronominal possessive suffix			44_girardprotopanotakanan
puertaafuera	puerta,afuera			103_girardprototakanan
pull	pull	PULL	1455	372_girardprototakanan
pumpkin	pumpkin	PUMPKIN	864	
castigar	punish	PUNISH	3649	259_girardprototakanan
puntadeflechahechadetacuararaspada	punta de flecha hecha de tacuara raspada			95_girardprototakanan
pursue	pursue	PURSUE	1047	
pus	pus	PUS	1808	§196_oliveiraprotopanoan
pusmateria	pus,materia			86_girardprototakanan
push	push	PUSH	1452	321_girardprototakanan
put	put	PUT	998	73_girardprototakanan, 175_girardprototakanan, 459_girardprototakanan
quedarsetenerestar	quedarse,tener,estar			1_girardprototakanan
quejido	quejido			429_girardprototakanan
quiabo	quiabó			249_girardprototakanan
conejo	rabbit	RABBIT	1136	458_girardprototakanan
balsa	raft	RAFT	1664	65_girardprototakanan
rainprecipitation	rain (precipitation)	RAIN (PRECIPITATION)	658	§32_oliveiraprotopanoan, 305_girardprototakanan
rainbow	rainbow	RAINBOW	1733	§266_oliveiraprotopanoan
rat	rat	RAT	1490	§435_oliveiraprotopanoan
cascabel	rattlesnake	RATTLESNAKE	871	141_girardprototakanan
barranco	ravine	RAVINE	1930	243_girardprototakanan
raw	raw	RAW	1959	
raya	raya			153_girardprototakanan
red	red	RED	156	§305_oliveiraprotopanoan
jabuti	red-footed tortoise	RED-FOOTED TORTOISE	3949	§403_oliveiraprotopanoan
chuchiocharocanabrava	reed	REED	659	87_girardprototakanan, 411_girardprototakanan
reflexivesuffix	reflexive suffix			422_girardprototakanan
relatives	relatives	RELATIVES	1644	§161_oliveiraprotopanoan, 139_girardprototakanan
remarbatir	remar,batir			408_girardprototakanan
remember	remember	REMEMBER	707	
resbalosoresbalar	resbaloso,resbalar			389_girardprototakanan
resina	resin	RESIN	664	262_girardprototakanan
rest	rest	REST	168	205_girardprototakanan
reventar	reventar			355_girardprototakanan
rib	rib	RIB	801	
right	right	RIGHT	1019	
righthand	right hand	RIGHT HAND	2183	§240_oliveiraprotopanoan
ring	ring	RING	1374	406_girardprototakanan
ripe	ripe	RIPE	178	
risueno	risueño			84_girardprototakanan
river	river	RIVER	666	§317_oliveiraprotopanoan, 246_girardprototakanan
toroast	roast (something)	ROAST (SOMETHING)	1962	§420_oliveiraprotopanoan, 229_girardprototakanan
roll	roll	ROLL	827	106_girardprotopanotakanan
rollup	roll up			202_girardprototakanan
roof	roof	ROOF	769	§417_oliveiraprotopanoan, 203_girardprototakanan
root	root	ROOT	670	§444_oliveiraprotopanoan, 426_girardprototakanan
rope	rope	ROPE	1218	
pudrirse	rot	ROT	2907	174_girardprototakanan, 373_girardprototakanan
rotten	rotten	ROTTEN	1728	§324_oliveiraprotopanoan
rough	rough	ROUGH	1923	
round	round	ROUND	1395	111_girardprotopanotakanan
paddlerow	paddle, row	ROW	1849	§483a_oliveiraprotopanoan, 107_girardprotopanotakanan
rub	rub	RUB	1449	
run	run	RUN	1519	§446_oliveiraprotopanoan
rioarriba	río arriba			55_girardprototakanan
sabanon	sabañon			455_girardprototakanan
sacarcomprar	sacar,comprar			213_girardprototakanan
saguimonkey	sagui monkey			§390_oliveiraprotopanoan
salt	salt	SALT	1274	§449_oliveiraprotopanoan, 48_girardprototakanan
sameofthesamewayalso	same	SAME	200	§368_oliveiraprotopanoan
sancochar	sancochar			491_girardprototakanan
sand	sand	SAND	671	§225_oliveiraprotopanoan
sardina	sardina			449_girardprototakanan
sarna	sarna			383_girardprototakanan
say	say	SAY	1458	§500_oliveiraprotopanoan
sayamajo	saya,majo			268_girardprototakanan
cicatriz	scar	SCAR	497	192_girardprototakanan
alacran	scorpion	SCORPION	1538	20_girardprototakanan
scrape	scrape	SCRAPE	1767	134_girardprototakanan
sedice	se dice			329_girardprototakanan
see	see	SEE	1409	§142_oliveiraprotopanoan, 27_girardprototakanan
seed	seed	SEED	714	§136_oliveiraprotopanoan
seize	seize	SEIZE	855	§116_oliveiraprotopanoan, 166_girardprototakanan
sell	sell	SELL	1571	170_girardprototakanan
send	send	SEND	1127	
separate	separate	SEPARATE	1359	
sew	sew	SEW	1457	§176_oliveiraprotopanoan
shade	shade	SHADE	1388	§40_oliveiraprotopanoan
shake	shake	SHAKE	1909	
verguenza	shame	SHAME	1776	75_girardprototakanan
sharp	sharp	SHARP	1396	239_girardprototakanan, 60_girardprotopanotakanan
sharpensomething	sharpen (something)	SHARPEN (SOMETHING)	251	
concha	shell	SHELL	598	189_girardprototakanan
shine	shine	SHINE	708	
shitdefecate	shit (defecate)	SHIT (DEFECATE)	676	495_girardprototakanan
shiver	shiver	SHIVER	52	
shoot	shoot	SHOOT	1172	
orilla	shore	SHORE	113	91_girardprototakanan
short	short	SHORT	1645	
shotgun	shotgun	SHOTGUN	3948	§460_oliveiraprotopanoan
shoulder	shoulder	SHOULDER	1482	18_girardprototakanan
shout	shout	SHOUT	715	100_girardprototakanan
mostrar	show	SHOW	1039	27_girardprototakanan
shrimp	shrimp	SHRIMP	2349	§219_oliveiraprotopanoan
shut	shut	SHUT	1046	416_girardprototakanan
siblingofoppositesex	sibling of opposite sex			88_girardprotopanotakanan
siblingoftheothersex	sibling of the other sex			§340_oliveiraprotopanoan
sick	sick	SICK	1847	
side	side	SIDE	682	
silencio	silence	SILENCE	3458	402_girardprototakanan
parecido	similar	SIMILAR	1558	27_girardprototakanan
simpleinterrogante	simple interrogante			3_girardprototakanan
sing	sing	SING	1261	
sisterinlawwifecrosscousin	sister-in-law, wife, cross-cousin			§397_oliveiraprotopanoan
sit	sit	SIT	1416	§109_oliveiraprotopanoan
sitdown	sit down	SIT DOWN	1649	
skin	skin	SKIN	763	72_girardprototakanan, 22_girardprotopanotakanan
sky	sky	SKY	1732	§253_oliveiraprotopanoan, 31_girardprototakanan
sleep	sleep	SLEEP	1585	§38_oliveiraprotopanoan, 412_girardprototakanan
slip	slip	SLIP	1324	
small	small	SMALL	1246	§427_oliveiraprotopanoan, 456_girardprototakanan
smallbag	small bag			§334_oliveiraprotopanoan
oler	smell	SMELL	2124	193_girardprototakanan
smellperceive	smell (perceive)	SMELL (PERCEIVE)	1586	§416_oliveiraprotopanoan
smellstink	smell (stink)	SMELL (STINK)	1587	
smoke	smoke			§186_oliveiraprotopanoan
smokeexhaust	smoke (exhaust)	SMOKE (EXHAUST)	778	461_girardprototakanan
smokeinhale	smoke (inhale)	SMOKE (INHALE)	1689	
smooth	smooth	SMOOTH	1234	
snail	snail	SNAIL	1543	
snake	snake	SNAKE	730	§375_oliveiraprotopanoan, 43_girardprototakanan, 41_girardprotopanotakanan
sneeze	sneeze	SNEEZE	1621	
snore	snore	SNORE	1983	
soft	soft	SOFT	1856	356_girardprototakanan
some	some	SOME	1241	
hijo	son	SON	1620	44_girardprototakanan
sorcerer	sorcerer	SORCERER	823	§503_oliveiraprotopanoan
soul	soul	SOUL	811	
soupbroth	soup	SOUP	1547	§85_oliveiraprotopanoan
sour	sour	SOUR	1906	
sowseeds	sow seeds	SOW SEEDS	748	45_girardprototakanan
speak	speak	SPEAK	1623	
speciesofant	species of ant			§233_oliveiraprotopanoan
speciesofarara	species of ara			§166_oliveiraprotopanoan
speciesofarmadillo	species of armadillo			§499_oliveiraprotopanoan
speciesofbamboo	species of bamboo			§311_oliveiraprotopanoan
speciesofbee	species of bee			§104_oliveiraprotopanoan
speciesofbird	species of bird			§271_oliveiraprotopanoan
speciesofcaterpillar	species of caterpillar			§410_oliveiraprotopanoan
speciesofcobra	species of cobra			§333_oliveiraprotopanoan
speciesofdeer	species of deer			§123_oliveiraprotopanoan
speciesoffish	species of fish			§506_oliveiraprotopanoan
speciesoffishloricariidae	species of fish (loricariidae)			§22_oliveiraprotopanoan
speciesoffishpimelididae	species of fish (pimelididae)			§100_oliveiraprotopanoan
speciesoffrog	species of frog			§83_oliveiraprotopanoan
speciesoffunghi	species of funghi			§195_oliveiraprotopanoan
speciesofgourd	species of gourd			§401_oliveiraprotopanoan
speciesofhawk	species of hawk			§456_oliveiraprotopanoan
speciesofheron	species of heron			§89_oliveiraprotopanoan
speciesofjaguar	species of jaguar			§21_oliveiraprotopanoan
speciesoflargetucan	species of large tucan			§426_oliveiraprotopanoan
speciesoflizard	species of lizard			§408_oliveiraprotopanoan
speciesofmacaw	species of macaw			§402_oliveiraprotopanoan
speciesofmollusc	species of mollusc			§120_oliveiraprotopanoan
speciesofmonkey	species of monkey			§472_oliveiraprotopanoan
speciesofmosquito	species of mosquito			§254_oliveiraprotopanoan
speciesofotter	species of otter			§107_oliveiraprotopanoan
speciesofowl	species of owl			§343_oliveiraprotopanoan
speciesofpalm	species of palm			§442_oliveiraprotopanoan
speciesofpepper	species of pepper			§504_oliveiraprotopanoan
speciesofpicapaupicidae	species of picapau (picidae)			§96_oliveiraprotopanoan
speciesofpig	species of pig			§304_oliveiraprotopanoan
speciesofplant	species of plant			§385_oliveiraprotopanoan
speciesofpumpkin	species of pumpkin			§471_oliveiraprotopanoan
speciesofsloth	species of sloth			§344_oliveiraprotopanoan
speciesofsnail	species of snail			§287_oliveiraprotopanoan
speciesofsnake	species of snake			§165_oliveiraprotopanoan
speciesofspider	species of spider			§386_oliveiraprotopanoan
speciesoftick	species of tick			§491_oliveiraprotopanoan
speciesoftree	species of tree			§411_oliveiraprotopanoan
speciesoftreephyllanthaceae	species of tree (phyllanthaceae)			§78_oliveiraprotopanoan
speciesoftreeanditsfruit	species of tree and it's fruit			§145_oliveiraprotopanoan
speciesoftreewithspecialuseofbark	species of tree with special use of bark			§103_oliveiraprotopanoan
speciesoftubercole	species of tubercole			§339_oliveiraprotopanoan
speciesoftucan	species of tucan			§331_oliveiraprotopanoan
spider	spider	SPIDER	843	190_girardprototakanan
spiderweb	spider web	SPIDER WEB	1065	§475_oliveiraprotopanoan
espiga	spike	SPIKE	1249	487_girardprototakanan
spin	spin	SPIN	121	39_girardprototakanan
ghostspirit	ghost, spirit	SPIRIT	53	113_girardprotopanotakanan
spit	spit	SPIT	1440	
split	split	SPLIT	1437	
spreadout	spread out	SPREAD OUT	38	345_girardprototakanan
springorwell	spring or well	SPRING OR WELL	2144	
sprout	sprout (shoot)	SPROUT (SHOOT)	3358	§454_oliveiraprotopanoan
squeeze	squeeze	SQUEEZE	1414	372_girardprototakanan
squirrel	squirrel	SQUIRREL	1628	§169_oliveiraprotopanoan, 133_girardprototakanan
stand	stand	STAND	1442	§273_oliveiraprotopanoan, 76_girardprotopanotakanan
star	star	STAR	1430	§489_oliveiraprotopanoan
steal	steal	STEAL	713	§508_oliveiraprotopanoan, 111_girardprototakanan
tostep	step (verb)	STEP (VERB)	2065	§45_oliveiraprotopanoan
palo	stick	STICK	1295	128_girardprototakanan
stingray	stingray	STINGRAY	1910	§30_oliveiraprotopanoan
stinking	stinking	STINKING	42	
stomach	stomach	STOMACH	819	
stone	stone	STONE	857	§226_oliveiraprotopanoan, §400_oliveiraprotopanoan, 438_girardprototakanan
straight	straight	STRAIGHT	1404	
stretch	stretch	STRETCH	214	
golpear	strike	STRIKE	353	333_girardprototakanan
suck	suck	SUCK	1421	§41_oliveiraprotopanoan, 36_girardprotopanotakanan
sucklebreastfeednurse	suckle (breastfeed, nurse)	SUCKLE (BREASTFEED, NURSE)	2472	
suffer	suffer	SUFFER	1101	10_girardprotopanotakanan
sugarcane	sugar cane	SUGAR CANE	146	§404_oliveiraprotopanoan
summer	summer	SUMMER	1342	
sun	sun	SUN	1343	§62_oliveiraprotopanoan, 160_girardprototakanan, 16_girardprotopanotakanan
swallow	swallow	SWALLOW	897	§405_oliveiraprotopanoan, 34_girardprotopanotakanan
tosweat	sweat (perspire)	SWEAT (PERSPIRE)	126	§279_oliveiraprotopanoan
tosweep	sweep	SWEEP	230	§205_oliveiraprotopanoan, 180_girardprototakanan
sweet	sweet	SWEET	717	§65_oliveiraprotopanoan, 71_girardprototakanan, 20_girardprotopanotakanan
sweetpotatoyam	sweet potato	SWEET POTATO	159	
hinchar	swell	SWELL	1573	301_girardprototakanan, 188_girardprototakanan
swiddenfieldforagriculture	swidden field	SWIDDEN FIELD	429	§58_oliveiraprotopanoan
swim	swim	SWIM	1439	§292_oliveiraprotopanoan, 54_girardprototakanan
tacuaraflauta	tacuara,flauta			297_girardprototakanan
tail	tail	TAIL	1220	§141_oliveiraprotopanoan, 172_girardprototakanan
tambien	también			55_girardprototakanan
tapir	tapir			§8_oliveiraprotopanoan, 24_girardprototakanan, 4_girardprotopanotakanan
tapiritemporaryhome	tapiri, temporary home			§437_oliveiraprotopanoan
tareche	tareche			187_girardprototakanan
tastydelicious	tasty	TASTY	1813	§288_oliveiraprotopanoan, 77_girardprotopanotakanan
tatu	tattoo	TATTOO	68	117_girardprototakanan
tearofeye	tear (of eye)	TEAR (OF EYE)	1651	§73_oliveiraprotopanoan
tearshred	tear (shred)	TEAR (SHRED)	1735	
tell	tell	TELL	1711	69_girardprotopanotakanan
termite	termite	TERMITE	883	§255_oliveiraprotopanoan
testicles	testicles	TESTICLES	797	
thatmuch	that much			§51_oliveiraprotopanoan
there	there	THERE	1937	
they	they	THEY	817	
thick	thick	THICK	1244	§180_oliveiraprotopanoan
thinfine	thin	THIN	2308	§84_oliveiraprotopanoan
delgado	thin (slim)	THIN (SLIM)	1400	239_girardprototakanan
thing	thing	THING	738	3_girardprototakanan
tothink	think	THINK	2271	§387_oliveiraprotopanoan
thinkreflect	think (reflect)	THINK (REFLECT)	1415	
thirdpersonplural	third person plural			§52_oliveiraprotopanoan
