ID	Concept	Concepticon_Gloss	Concepticon_ID	Proto_ID
bowlplate	bowl, plate			§177_oliveiraprotopanoan
boy	boy	BOY	1366	
brain	brain	BRAIN	1583	
branchoftree	branch	BRANCH	1531	§321_oliveiraprotopanoan
ramagajo	branch or twig	BRANCH OR TWIG	3223	484_girardprototakanan
branchesthathangintotheriver	branches that hang into the river			§450_oliveiraprotopanoan
brave	brave	BRAVE	3	§381_oliveiraprotopanoan
cedrelaodorata	brazilian cedar	BRAZILIAN CEDAR	3929	§199_oliveiraprotopanoan
breakdestroyorgetdestroyed	break (destroy or get destroyed)	BREAK (DESTROY OR GET DESTROYED)	680	§452_oliveiraprotopanoan, 109_girardprotopanotakanan
breast	breast	BREAST	1402	6_girardprototakanan
breastsmilk	breast or milk	BREAST OR MILK	2129	§429_oliveiraprotopanoan
breathe	breathe	BREATHE	1407	§300_oliveiraprotopanoan
breedingdomesticanimal	breeding, domestic animal			§19_oliveiraprotopanoan
breeze	breeze			§275_oliveiraprotopanoan
bridge	bridge	BRIDGE	1011	§443_oliveiraprotopanoan
bright	bright	BRIGHT	679	
bring	bring	BRING	692	53_girardprototakanan, 24_girardprotopanotakanan
hermano	brother	BROTHER	1262	320_girardprototakanan
cunado	brother-in-law	BROTHER-IN-LAW	2314	178_girardprototakanan
brujahechicero	bruja,hechicero			276_girardprototakanan
brujodios	brujo,dios			143_girardprototakanan
buitrenegro	buitre negro			56_girardprototakanan
racimo	bunch	BUNCH	1966	142_girardprototakanan
toburn	burn	BURN	2102	§135_oliveiraprotopanoan
burnsomething	burn (something)	BURN (SOMETHING)	141	419_girardprototakanan
burning	burning	BURNING	1428	
bury	bury	BURY	1719	§209a_oliveiraprotopanoan, 327_girardprototakanan
monte	bush	BUSH	1683	218_girardprototakanan
butterfly	butterfly	BUTTERFLY	1791	376_girardprototakanan, 86_girardprotopanotakanan
buttocks	buttocks	BUTTOCKS	834	
buy	buy	BUY	1869	
caiman	caiman	CAIMAN	2438	§170_oliveiraprotopanoan
caituhilohechoencasa	caitu (hilo hecho en casa)			277_girardprototakanan
calabaceragrandeinsecto	calabacera grande (insecto)			407_girardprototakanan
calf	calf	CALF	1989	§487_oliveiraprotopanoan
calientecocinar	caliente,cocinar			392_girardprototakanan
call	call	CALL	1084	§151_oliveiraprotopanoan, 173_girardprototakanan
wildturkeyspcampanillo	wild turkey sp. (campanillo)			221_girardprototakanan, 57_girardprotopanotakanan
canoe	canoe	CANOE	1970	§294_oliveiraprotopanoan, 231_girardprototakanan
canoso	canoso			226_girardprototakanan
cabybara	capybara	CAPYBARA	314	§3_oliveiraprotopanoan, 504_girardprototakanan
caricari	caricari			46_girardprototakanan
carino	cariño			157_girardprototakanan
carpir	carpir			334_girardprototakanan
carry	carry	CARRY	700	1_girardprototakanan, 147_girardprototakanan
cassava	cassava	CASSAVA	925	§2_oliveiraprotopanoan, 237_girardprototakanan
cat	cat	CAT	1208	
tocatch	catch	CATCH	702	§87_oliveiraprotopanoan
causative	causative			
causativesuffix	causative suffix			289_girardprototakanan
cayapobalsa	cayapo,balsa			341_girardprototakanan
cedro	cedro			34_girardprototakanan
celar	celar			291_girardprototakanan
centro	center	CENTER	491	425_girardprototakanan
centerormiddle	center or middle	CENTER OR MIDDLE	3208	326_girardprototakanan
ciempies	centipede	CENTIPEDE	1974	324_girardprototakanan
centipedescorpion	centipede, scorpion			§276_oliveiraprotopanoan
cernerpunzar	cerner,punzar			490_girardprototakanan
chaco	chaco			418_girardprototakanan
chair	chair	CHAIR	1476	
chancodetropa	chanco de tropa			453_girardprototakanan
chapapearabochornar	chapapear,abochornar			366_girardprototakanan
chaquilloarbol	chaquillo (árbol)			200_girardprototakanan
charcoal	charcoal	CHARCOAL	1188	§113_oliveiraprotopanoan
cheek	cheek	CHEEK	1730	§440_oliveiraprotopanoan, 105_girardprotopanotakanan
chest	chest	CHEST	1592	102_girardprototakanan
chestbodypartprefix	chest (body-part prefix)			§384_oliveiraprotopanoan
chew	chew	CHEW	321	
chichilo	chichilo			385_girardprototakanan
chicken	chicken	CHICKEN	1318	
chieftain	chieftain	CHIEFTAIN	301	
child	child	CHILD	2099	17_girardprotopanotakanan
childyounghuman	child (young human)	CHILD (YOUNG HUMAN)	1304	§59_oliveiraprotopanoan
chilipepper	chili pepper	CHILI PEPPER	919	67_girardprototakanan
chocolate	chocolate	CHOCOLATE	3873	236_girardprototakanan
chonta	chonta palm	CHONTA PALM	440	275_girardprototakanan
chontaloro	chontaloro			7_girardprototakanan
choose	choose	CHOOSE	1750	
cicada	cicada	CICADA	2353	§112_oliveiraprotopanoan
clarity	clarity			§391_oliveiraprotopanoan
classofant	class of ant			§143_oliveiraprotopanoan
clavararreglar	clavar,arreglar			409_girardprototakanan
claw	claw	CLAW	72	§298_oliveiraprotopanoan
claypit	clay pit			§244_oliveiraprotopanoan
claydust	clay, dust			§221_oliveiraprotopanoan
clean	clean	CLEAN	704	
claro	clear	CLEAR	989	229_girardprototakanan
subir	climb	CLIMB	1102	122_girardprototakanan
cloth	cloth	CLOTH	1616	§57_oliveiraprotopanoan
clothes	clothes	CLOTHES	1895	§129_oliveiraprotopanoan, §447_oliveiraprotopanoan
cloud	cloud	CLOUD	1489	
cloudy	cloudy	CLOUDY	2341	
coati	coati (coatimundi)	COATI (COATIMUNDI)	2389	§382_oliveiraprotopanoan
coca	coca	COCA	137	489_girardprototakanan
colander	colander			§461_oliveiraprotopanoan
cold	cold	COLD	1287	§204_oliveiraprotopanoan, 30_girardprototakanan
colorear	colorear			482_girardprototakanan
comb	comb	COMB	1475	
combverb	comb (verb)	COMB (VERB)	2070	
come	come	COME	1446	
comeback	come back	COME BACK	581	
comitative	comitative			§70_oliveiraprotopanoan
completivesuffix	completive suffix			309_girardprototakanan
conque	con qué?			3_girardprototakanan
consumir	consume (drink or eat)	CONSUME (DRINK OR EAT)	2787	164_girardprototakanan
cooksomething	cook (something)	COOK (SOMETHING)	1100	
cookingpot	cooking pot	COOKING POT	3653	
copulate	copulate	COPULATE	549	35_girardprotopanotakanan
esquina	corner	CORNER	192	115_girardprototakanan
correctoverdadero	correct (right)	CORRECT (RIGHT)	1725	316_girardprototakanan
cortarquebrar	cortar,quebrar			364_girardprototakanan
cortarserruchar	cortar,serruchar			391_girardprototakanan
cortartrozar	cortar,trozar			434_girardprototakanan
costillodecasa	costillo de casa			201_girardprototakanan
cotton	cotton	COTTON	1850	§476_oliveiraprotopanoan, 463_girardprototakanan
cough	cough	COUGH	879	§34_oliveiraprotopanoan, 15_girardprotopanotakanan
cover	cover	COVER	761	§357_oliveiraprotopanoan
cangrejo	crab	CRAB	2348	498_girardprototakanan
tocrawl	crawl	CRAWL	96	§242_oliveiraprotopanoan, 371_girardprototakanan
crawlorcreep	crawl or creep	CRAWL OR CREEP	3456	
creceragrandar	crecer,agrandar			17_girardprototakanan
grillo	cricket	CRICKET	2354	19_girardprototakanan
crooked	crooked	CROOKED	297	
cry	cry	CRY	1839	§484_oliveiraprotopanoan, 328_girardprototakanan
cuandoharto	cuando,harto			121_girardprototakanan
cuidar	cuidar			252_girardprototakanan
cujubim	cujubim			§200_oliveiraprotopanoan
cuquisa	cuquisa			66_girardprototakanan
curassow	curassow	CURASSOW	315	§49_oliveiraprotopanoan, 274_girardprototakanan
cure	cure	CURE	499	
curucusiluciernaga	curucusí,luciérnaga			360_girardprototakanan
cut	cut	CUT	1432	§393_oliveiraprotopanoan, 379_girardprototakanan, 112_girardprotopanotakanan
tocuthair	cut (with scissors)	CUT (WITH SCISSORS)	2155	§229_oliveiraprotopanoan
cutiaspeciesofrodent	cutia (species of rodent)			§223_oliveiraprotopanoan
dance	dance	DANCE	1879	33_girardprotopanotakanan
dark	dark	DARK	706	
darkblue	dark blue			§464_oliveiraprotopanoan
darknight	dark, night			§494_oliveiraprotopanoan
darkness	darkness	DARKNESS	11	
dawn	dawn	DAWN	729	
daynotnight	day (not night)	DAY (NOT NIGHT)	1225	§272_oliveiraprotopanoan
dequien	de quién			3_girardprototakanan
dead	dead	DEAD	1625	
deaf	deaf	DEAF	996	§322_oliveiraprotopanoan
todeceive	deceive	DECEIVE	3230	§316_oliveiraprotopanoan
tosaytomake	to say, to make			354_girardprototakanan
deep	deep	DEEP	1593	§284_oliveiraprotopanoan, 140_girardprototakanan
deer	deer	DEER	1936	145_girardprototakanan
defendertenermezquindad	defender,tener mezquindad			313_girardprototakanan
demon	demon	DEMON	1973	
demonstrative	demonstrative			14_girardprotopanotakanan
demonstrativeproximate	demonstrative proximate			
derivativesuffixwithreferencetobodyparts	derivative suffix with reference to body parts			198_girardprototakanan
desenganchar	desenganchar			343_girardprototakanan
desiderative	desiderative			197_girardprototakanan
desiderativesuffix	desiderative suffix			53_girardprotopanotakanan
desidia	desidia			38_girardprototakanan
todesire	desire	DESIRE	2117	§150_oliveiraprotopanoan
desnudarsacardestejar	desnudar,sacar,destejar			474_girardprototakanan
detransitivizerreflexive	detransitivizer,reflexive			
dew	dew	DEW	1977	28_girardprototakanan
diablozorro	diablo,zorro			158_girardprototakanan
die	die	DIE	1494	§232_oliveiraprotopanoan, 272_girardprototakanan, 65_girardprotopanotakanan
dig	dig	DIG	1418	
dirty	dirty	DIRTY	1230	26_girardprototakanan
disease	disease	DISEASE	1986	315_girardprototakanan
dive	dive	DIVE	119	
todo	do	DO	813	§466_oliveiraprotopanoan, 1_girardprototakanan
dotrauxiliarytr	do (tr.),auxiliary (tr.)			
docoming	do coming			
dog	dog	DOG	2009	8_girardprotopanotakanan
door	door	DOOR	1567	97_girardprotopanotakanan
paloma	dove	DOVE	1853	457_girardprototakanan
abajo	down	DOWN	1326	78_girardprototakanan
todrag	drag	DRAG	2030	§278_oliveiraprotopanoan
dream	dream	DREAM	2374	§256_oliveiraprotopanoan
dreamsomething	dream (something)	DREAM (SOMETHING)	1920	
drink	drink	DRINK	1401	161_girardprototakanan
ahogar	drown	DROWN	1904	473_girardprototakanan
drum	drum	DRUM	908	
drunk	drunk	DRUNK	1463	
dry	dry	DRY	1398	299_girardprototakanan
dualsuffix	dual suffix			99_girardprototakanan
duck	duck	DUCK	1360	§293_oliveiraprotopanoan, 397_girardprototakanan
durofuerte	duro,fuerte			401_girardprototakanan
dust	dust	DUST	2	§347_oliveiraprotopanoan
diafiesta	día,fiesta			109_girardprototakanan
ear	ear	EAR	1247	156_girardprototakanan
holeofear	earhole	EARHOLE	3891	§310_oliveiraprotopanoan
earornamentearring	earring	EARRING	770	§314_oliveiraprotopanoan
earth	earth			§207_oliveiraprotopanoan
earthsoil	earth (soil)	EARTH (SOIL)	1228	281_girardprototakanan, 63_girardprotopanotakanan
earthworm	earthworm	EARTHWORM	2350	§286_oliveiraprotopanoan
eat	eat	EAT	1336	§326_oliveiraprotopanoan
edgelips	edge, lips			§148_oliveiraprotopanoan
egg	egg	EGG	744	§63_oliveiraprotopanoan, 199_girardprototakanan
elbow	elbow	ELBOW	981	29_girardprototakanan
embrace	embrace	EMBRACE	928	§18_oliveiraprotopanoan
empty	empty	EMPTY	1624	287_girardprototakanan
enemy	enemy	ENEMY	1358	
ensartarcosturar	ensartar,costurar			503_girardprototakanan
enter	enter	ENTER	749	§137_oliveiraprotopanoan, 80_girardprotopanotakanan
entrarcentro	entrar,centro			140_girardprototakanan
ergative	ergative			
escarbar	escarbar			59_girardprototakanan
espigacogollo	espiga,cogollo			481_girardprototakanan
esteaqui	este,aquí			363_girardprototakanan
evening	evening	EVENING	1629	
excusar	excusar			114_girardprototakanan
extinguish	extinguish	EXTINGUISH	127	§290_oliveiraprotopanoan, 419_girardprototakanan
eye	eye	EYE	1248	§79_oliveiraprotopanoan, 436_girardprototakanan, 102_girardprotopanotakanan
eyebrow	eyebrow	EYEBROW	1173	§82_oliveiraprotopanoan
eyelash	eyelash	EYELASH	1540	
face	face	FACE	1560	§86_oliveiraprotopanoan, 77_girardprototakanan, 25_girardprotopanotakanan
faeces	faeces (excrement)	FAECES (EXCREMENT)	675	§338_oliveiraprotopanoan, 146_girardprototakanan
fall	fall	FALL	1280	§366_oliveiraprotopanoan, 129_girardprototakanan
fanaction	fan (action)	FAN (ACTION)	360	§323_oliveiraprotopanoan
far	far	FAR	1406	
fart	fart	FART	1159	
fast	fast	FAST	1631	
fasten	fasten	FASTEN	1094	
tomakeadiettofast	fasting	FASTING	3331	§376_oliveiraprotopanoan
fat	fat (obese)	FAT (OBESE)	1279	§423_oliveiraprotopanoan
fatorganicsubstance	fat (organic substance)	FAT (ORGANIC SUBSTANCE)	323	§412_oliveiraprotopanoan, 105_girardprototakanan
father	father	FATHER	1217	§315_oliveiraprotopanoan, 410_girardprototakanan
tofeartobeafraid	fear (be afraid)	FEAR (BE AFRAID)	1419	§351_oliveiraprotopanoan
fearfright	fear (fright)	FEAR (FRIGHT)	781	
feather	feather	FEATHER	1201	
dardecomer	feed	FEED	739	294_girardprototakanan
mujerhembra	female	FEMALE	1551	359_girardprototakanan
few	few	FEW	1242	
field	field	FIELD	212	§467_oliveiraprotopanoan
fight	fight	FIGHT	1423	
fill	fill	FILL	2006	387_girardprototakanan
find	find	FIND	719	125_girardprototakanan
finger	finger	FINGER	1303	§243_oliveiraprotopanoan
fingernail	fingernail	FINGERNAIL	1258	§238_oliveiraprotopanoan
una	fingernail or toenail	FINGERNAIL OR TOENAIL	1896	423_girardprototakanan, 28_girardprotopanotakanan
finish	finish	FINISH	1766	§182_oliveiraprotopanoan, 1_girardprototakanan, 427_girardprototakanan
fire	fire	FIRE	221	§124_oliveiraprotopanoan, 419_girardprototakanan, 30_girardprotopanotakanan
firepowder	fire powder			§125_oliveiraprotopanoan
firefly	firefly	FIREFLY	206	§190_oliveiraprotopanoan
firewood	firewood	FIREWOOD	10	§172_oliveiraprotopanoan, 229_girardprototakanan
first	first	FIRST	728	244_girardprototakanan
fish	fish	FISH	227	§496_oliveiraprotopanoan, 377_girardprototakanan
fishpoison	fish poison	FISH POISON	348	4_girardprototakanan, 3_girardprotopanotakanan
espinas	fishbone	FISHBONE	3799	250_girardprototakanan
fishhook	fishhook	FISHHOOK	1074	§248_oliveiraprotopanoan
puno	fist	FIST	1473	352_girardprototakanan
flat	flat	FLAT	1633	
flee	flee	FLEE	956	
flesh	flesh	FLESH	2259	
carnecuerpo	flesh or meat	FLESH OR MEAT	2615	362_girardprototakanan
float	float	FLOAT	1574	
floracion	floración			88_girardprototakanan
flour	flour	FLOUR	1594	
flow	flow	FLOW	2003	
flower	flower	FLOWER	239	§297_oliveiraprotopanoan
flute	flute	FLUTE	777	39_girardprotopanotakanan
flyinsect	fly (insect)	FLY (INSECT)	1504	471_girardprototakanan
flymovethroughair	fly (move through air)	FLY (MOVE THROUGH AIR)	1441	§295_oliveiraprotopanoan
foam	foam	FOAM	1768	§60_oliveiraprotopanoan, 443_girardprototakanan
fog	fog	FOG	249	
andar	fold	FOLD	1470	319_girardprototakanan
follow	follow	FOLLOW	1085	
food	food	FOOD	256	§337_oliveiraprotopanoan, 206_girardprototakanan
foot	foot	FOOT	1301	§436_oliveiraprotopanoan, 454_girardprototakanan, 50_girardprotopanotakanan
piepierna	foot or leg	FOOT OR LEG	2098	93_girardprototakanan, 103_girardprotopanotakanan
footprint	footprint	FOOTPRINT	318	
forehead	forehead	FOREHEAD	123	
foreheadface	forehead, face			§75_oliveiraprotopanoan
foreigner	foreigner			§265_oliveiraprotopanoan
forest	forest	FOREST	420	§274_oliveiraprotopanoan
forget	forget	FORGET	1523	
freshwater	fresh water			§36_oliveiraprotopanoan
friend	friend	FRIEND	1325	21_girardprototakanan
frog	frog	FROG	503	85_girardprototakanan, 469_girardprototakanan
fruit	fruit	FRUIT	1507	§91_oliveiraprotopanoan, 200_girardprototakanan
freir	fry	FRY	991	229_girardprototakanan
fuerteagrio	fuerte,agrio			101_girardprototakanan
fuerteacidoagrio	fuerte,ácido,agrio			380_girardprototakanan
full	full	FULL	1429	
fur	fur	FUR	580	§432_oliveiraprotopanoan
gallinazosucha	gallinazo,sucha			381_girardprototakanan
basura	garbage	GARBAGE	909	76_girardprototakanan
garrapata	garrapata			58_girardprototakanan
gather	gather	GATHER	7	§269_oliveiraprotopanoan
general3rdpersonsgandplpronoun	general 3rd person (sg. and pl.) pronoun			110_girardprotopanotakanan
geniocaracterconciencia	genio,carácter,conciencia			318_girardprototakanan
genipa	genipa	GENIPA	3920	§259_oliveiraprotopanoan
genitive	genitive			
get	get	GET	694	21_girardprotopanotakanan
getlost	get lost	GET LOST	423	
gettired	get tired	GET TIRED	1996	
togetwetbewet	get wet	GET WET	2324	74_girardprotopanotakanan
ghost	ghost	GHOST	1175	§511_oliveiraprotopanoan
girl	girl	GIRL	1646	
give	give	GIVE	1447	§20_oliveiraprotopanoan, 421_girardprototakanan, 9_girardprotopanotakanan
givebirth	give birth	GIVE BIRTH	1195	
go	go	GO	695	227_girardprototakanan, 58_girardprotopanotakanan
goacross	go across			32_girardprotopanotakanan
godowndescend	go down (descend)	GO DOWN (DESCEND)	2014	78_girardprototakanan, 26_girardprotopanotakanan
goout	go out	GO OUT	1107	253_girardprototakanan
goupascend	go up (ascend)	GO UP (ASCEND)	705	§18b_oliveiraprotopanoan, §218_oliveiraprotopanoan
goingdowndownward	going down,downward			
good	good	GOOD	1035	§383_oliveiraprotopanoan, 378_girardprototakanan
gorgojo	gorgojo			302_girardprototakanan
grano	grain	GRAIN	605	115_girardprototakanan
grandfather	grandfather	GRANDFATHER	1383	33_girardprototakanan
grandchild	grandchild	GRANDCHILD	1617	441_girardprototakanan
grass	grass	GRASS	606	§474_oliveiraprotopanoan
grasshopper	grasshopper	GRASSHOPPER	607	§121_oliveiraprotopanoan
rallarraspar	grate (something)	GRATE (SOMETHING)	3114	369_girardprototakanan
cascajo	gravel	GRAVEL	3028	264_girardprototakanan
gredabarrocoloradopiedra	greda,barro colorado,piedra			281_girardprototakanan
green	green	GREEN	1425	82_girardprotopanotakanan, 115_girardprotopanotakanan
gray	grey	GREY	153	56_girardprotopanotakanan
grind	grind	GRIND	1033	§364_oliveiraprotopanoan
groundnut	groundnut (peanut)	GROUNDNUT (PEANUT)	595	§439_oliveiraprotopanoan
grow	grow	GROW	479	§510_oliveiraprotopanoan, 300_girardprototakanan
gualusa	gualusa			15_girardprototakanan
jacuspeciesofbird	guan	GUAN	437	§149_oliveiraprotopanoan
guava	guava			§94_oliveiraprotopanoan, 83_girardprototakanan
guerraenemigo	guerra,enemigo			265_girardprototakanan
hair	hair	HAIR	1040	§105_oliveiraprotopanoan, 91_girardprotopanotakanan
hairbody	hair (body)	HAIR (BODY)	189	§358_oliveiraprotopanoan
hairhead	hair (head)	HAIR (HEAD)	2648	88_girardprototakanan
half	half	HALF	816	
hammock	hammock	HAMMOCK	2019	
hand	hand	HAND	1277	§239_oliveiraprotopanoan, 282_girardprototakanan, 70_girardprotopanotakanan
colgar	hang up	HANG UP	357	36_girardprototakanan
felizalegrecontento	happy	HAPPY	1495	57_girardprototakanan
hard	hard	HARD	1884	§178_oliveiraprotopanoan
sombrero	hat	HAT	771	303_girardprototakanan
hawk	hawk	HAWK	307	
haz	haz			215_girardprototakanan
he	he	HE	1211	§42_oliveiraprotopanoan
3rdpersonpronoun	he or she or it	HE OR SHE OR IT	262	45_girardprotopanotakanan
head	head	HEAD	1256	§108_oliveiraprotopanoan, 94_girardprototakanan
headbelthat	headgear	HEADGEAR	2130	§209_oliveiraprotopanoan
tipheadwatersofriver	headwaters	HEADWATERS	2672	§361_oliveiraprotopanoan
hear	hear	HEAR	1408	§147_oliveiraprotopanoan, §277_oliveiraprotopanoan
heart	heart	HEART	1223	§301_oliveiraprotopanoan
heathot	heat, hot			§502_oliveiraprotopanoan
heavy	heavy	HEAVY	1210	§29_oliveiraprotopanoan, 68_girardprototakanan
heel	heel	HEEL	980	
help	help	HELP	1897	97_girardprototakanan
here	here	HERE	136	
garza	heron	HERON	758	367_girardprototakanan
hiccoughtohiccup	hiccough	HICCOUGH	162	§111_oliveiraprotopanoan, 118_girardprototakanan
hideconceal	hide (conceal)	HIDE (CONCEAL)	602	§302_oliveiraprotopanoan
esconderse	hide (oneself)	HIDE (ONESELF)	2485	417_girardprototakanan
highortall	high or tall	HIGH OR TALL	2790	
hill	hill	HILL	614	§202_oliveiraprotopanoan, 62_girardprotopanotakanan
hisherofhimofher	his or her	HIS OR HER	2092	§54_oliveiraprotopanoan
hit	hit	HIT	1433	§459_oliveiraprotopanoan, 177_girardprototakanan
hojapelopluma	hoja,pelo,pluma			165_girardprototakanan
hole	hole	HOLE	1667	§184_oliveiraprotopanoan, 54_girardprotopanotakanan
honey	honey	HONEY	942	
