ID,Name,Concepticon_ID,Concepticon_Gloss,Proto_ID
carry,carry,700,CARRY,"1_girardprototakanan, 147_girardprototakanan"
cassava,cassava,925,CASSAVA,"§2_oliveiraprotopanoan, 237_girardprototakanan"
cat,cat,1208,CAT,
tocatch,catch,702,CATCH,§87_oliveiraprotopanoan
centro,center,491,CENTER,425_girardprototakanan
centerormiddle,center or middle,3208,CENTER OR MIDDLE,326_girardprototakanan
ciempies,centipede,1974,CENTIPEDE,324_girardprototakanan
chair,chair,1476,CHAIR,
charcoal,charcoal,1188,CHARCOAL,§113_oliveiraprotopanoan
cheek,cheek,1730,CHEEK,"§440_oliveiraprotopanoan, 105_girardprotopanotakanan"
chest,chest,1592,CHEST,102_girardprototakanan
chew,chew,321,CHEW,
chicken,chicken,1318,CHICKEN,
chieftain,chieftain,301,CHIEFTAIN,
child,child,2099,CHILD,17_girardprotopanotakanan
childyounghuman,child (young human),1304,CHILD (YOUNG HUMAN),§59_oliveiraprotopanoan
chilipepper,chili pepper,919,CHILI PEPPER,67_girardprototakanan
chocolate,chocolate,3873,CHOCOLATE,236_girardprototakanan
chonta,chonta palm,440,CHONTA PALM,275_girardprototakanan
choose,choose,1750,CHOOSE,
cicada,cicada,2353,CICADA,§112_oliveiraprotopanoan
claw,claw,72,CLAW,§298_oliveiraprotopanoan
clean,clean,704,CLEAN,
claro,clear,989,CLEAR,229_girardprototakanan
subir,climb,1102,CLIMB,122_girardprototakanan
cloth,cloth,1616,CLOTH,§57_oliveiraprotopanoan
clothes,clothes,1895,CLOTHES,"§129_oliveiraprotopanoan, §447_oliveiraprotopanoan"
cloud,cloud,1489,CLOUD,
cloudy,cloudy,2341,CLOUDY,
coati,coati (coatimundi),2389,COATI (COATIMUNDI),§382_oliveiraprotopanoan
coca,coca,137,COCA,489_girardprototakanan
cold,cold,1287,COLD,"§204_oliveiraprotopanoan, 30_girardprototakanan"
comb,comb,1475,COMB,
combverb,comb (verb),2070,COMB (VERB),
come,come,1446,COME,
comeback,come back,581,COME BACK,
consumir,consume (drink or eat),2787,CONSUME (DRINK OR EAT),164_girardprototakanan
cooksomething,cook (something),1100,COOK (SOMETHING),
cookingpot,cooking pot,3653,COOKING POT,
copulate,copulate,549,COPULATE,35_girardprotopanotakanan
esquina,corner,192,CORNER,115_girardprototakanan
correctoverdadero,correct (right),1725,CORRECT (RIGHT),316_girardprototakanan
cotton,cotton,1850,COTTON,"§476_oliveiraprotopanoan, 463_girardprototakanan"
cough,cough,879,COUGH,"§34_oliveiraprotopanoan, 15_girardprotopanotakanan"
cover,cover,761,COVER,§357_oliveiraprotopanoan
cangrejo,crab,2348,CRAB,498_girardprototakanan
tocrawl,crawl,96,CRAWL,"§242_oliveiraprotopanoan, 371_girardprototakanan"
crawlorcreep,crawl or creep,3456,CRAWL OR CREEP,
grillo,cricket,2354,CRICKET,19_girardprototakanan
crooked,crooked,297,CROOKED,
cry,cry,1839,CRY,"§484_oliveiraprotopanoan, 328_girardprototakanan"
curassow,curassow,315,CURASSOW,"§49_oliveiraprotopanoan, 274_girardprototakanan"
cure,cure,499,CURE,
cut,cut,1432,CUT,"§393_oliveiraprotopanoan, 379_girardprototakanan, 112_girardprotopanotakanan"
tocuthair,cut (with scissors),2155,CUT (WITH SCISSORS),§229_oliveiraprotopanoan
dance,dance,1879,DANCE,33_girardprotopanotakanan
dark,dark,706,DARK,
darkness,darkness,11,DARKNESS,
dawn,dawn,729,DAWN,
daynotnight,day (not night),1225,DAY (NOT NIGHT),§272_oliveiraprotopanoan
dead,dead,1625,DEAD,
deaf,deaf,996,DEAF,§322_oliveiraprotopanoan
todeceive,deceive,3230,DECEIVE,§316_oliveiraprotopanoan
deep,deep,1593,DEEP,"§284_oliveiraprotopanoan, 140_girardprototakanan"
deer,deer,1936,DEER,145_girardprototakanan
demon,demon,1973,DEMON,
todesire,desire,2117,DESIRE,§150_oliveiraprotopanoan
dew,dew,1977,DEW,28_girardprototakanan
die,die,1494,DIE,"§232_oliveiraprotopanoan, 272_girardprototakanan, 65_girardprotopanotakanan"
dig,dig,1418,DIG,
dirty,dirty,1230,DIRTY,26_girardprototakanan
enfermedad,disease,1986,DISEASE,315_girardprototakanan
dive,dive,119,DIVE,
todo,do,813,DO,"§466_oliveiraprotopanoan, 1_girardprototakanan"
dog,dog,2009,DOG,8_girardprotopanotakanan
door,door,1567,DOOR,97_girardprotopanotakanan
paloma,dove,1853,DOVE,457_girardprototakanan
abajo,down,1326,DOWN,78_girardprototakanan
todrag,drag,2030,DRAG,§278_oliveiraprotopanoan
dream,dream,2374,DREAM,§256_oliveiraprotopanoan
dreamsomething,dream (something),1920,DREAM (SOMETHING),
drink,drink,1401,DRINK,161_girardprototakanan
ahogar,drown,1904,DROWN,473_girardprototakanan
drum,drum,908,DRUM,
drunk,drunk,1463,DRUNK,
dry,dry,1398,DRY,299_girardprototakanan
duck,duck,1360,DUCK,"§293_oliveiraprotopanoan, 397_girardprototakanan"
dust,dust,2,DUST,§347_oliveiraprotopanoan
ear,ear,1247,EAR,156_girardprototakanan
holeofear,earhole,3891,EARHOLE,§310_oliveiraprotopanoan
earornamentearring,earring,770,EARRING,§314_oliveiraprotopanoan
earthsoil,earth (soil),1228,EARTH (SOIL),"281_girardprototakanan, 63_girardprotopanotakanan"
earthworm,earthworm,2350,EARTHWORM,§286_oliveiraprotopanoan
eat,eat,1336,EAT,§326_oliveiraprotopanoan
egg,egg,744,EGG,"§63_oliveiraprotopanoan, 199_girardprototakanan"
elbow,elbow,981,ELBOW,29_girardprototakanan
embrace,embrace,928,EMBRACE,§18_oliveiraprotopanoan
empty,empty,1624,EMPTY,287_girardprototakanan
enemy,enemy,1358,ENEMY,
enter,enter,749,ENTER,"§137_oliveiraprotopanoan, 80_girardprotopanotakanan"
evening,evening,1629,EVENING,
extinguish,extinguish,127,EXTINGUISH,"§290_oliveiraprotopanoan, 419_girardprototakanan"
eye,eye,1248,EYE,"§79_oliveiraprotopanoan, 436_girardprototakanan, 102_girardprotopanotakanan"
eyebrow,eyebrow,1173,EYEBROW,§82_oliveiraprotopanoan
eyelash,eyelash,1540,EYELASH,
face,face,1560,FACE,"§86_oliveiraprotopanoan, 77_girardprototakanan, 25_girardprotopanotakanan"
faeces,faeces (excrement),675,FAECES (EXCREMENT),"§338_oliveiraprotopanoan, 146_girardprototakanan"
fall,fall,1280,FALL,"§366_oliveiraprotopanoan, 129_girardprototakanan"
fanaction,fan (action),360,FAN (ACTION),§323_oliveiraprotopanoan
far,far,1406,FAR,
fart,fart,1159,FART,
fast,fast,1631,FAST,
fasten,fasten,1094,FASTEN,
tomakeadiettofast,fasting,3331,FASTING,§376_oliveiraprotopanoan
fat,fat (obese),1279,FAT (OBESE),§423_oliveiraprotopanoan
fatorganicsubstance,fat (organic substance),323,FAT (ORGANIC SUBSTANCE),"§412_oliveiraprotopanoan, 105_girardprototakanan"
father,father,1217,FATHER,"§315_oliveiraprotopanoan, 410_girardprototakanan"
tofeartobeafraid,fear (be afraid),1419,FEAR (BE AFRAID),§351_oliveiraprotopanoan
fearfright,fear (fright),781,FEAR (FRIGHT),
feather,feather,1201,FEATHER,
dardecomer,feed,739,FEED,294_girardprototakanan
