ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
eseejja-dust-1,,eseejja,dust,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,,1,,,,1 2,m e ʃ i ( - - ) + h a h i,,blumpanotacana
eseejja-mud-1,,eseejja,mud,wašapa,wašapa,w a ʃ a p a,None,,2,,,,3,w a ʃ a p a,,blumpanotacana
eseejja-sand-1,,eseejja,sand,meši-hahi,meši-hahi,m e ʃ i + h a h i,None,,1,,,,897 2,m e ʃ i - - + h a h i,,blumpanotacana
eseejja-plain-1,,eseejja,plain,haha-haha,haha-haha,h a h a + h a h a,None,,3,,,,4 5,h a h a + h a h a,,blumpanotacana
eseejja-water-1,,eseejja,water,ena,ena,n a,None,,4,,,,6,n a - - -,,blumpanotacana
eseejja-springorwell-1,,eseejja,springorwell,xani,xani,x a n i,None,,6,,,,8,x a n i,,blumpanotacana
eseejja-springorwell-2,,eseejja,springorwell,čixoko,čixoko,tʃ i x o k o,None,,7,,,,9,tʃ i x o k o,,blumpanotacana
eseejja-springorwell-3,,eseejja,springorwell,eteoxi,eteoxi,t eo x i,None,,8,,,,10,t eo x ( i ),,blumpanotacana
eseejja-forest-1,,eseejja,forest,eɓio,eɓio,ɓ i o,None,,9,,,,11,ɓ i o,,blumpanotacana
eseejja-tree-1,,eseejja,tree,akʷi,akʷi,a kʷ i,None,,10,,,,286,a kʷ i - -,,blumpanotacana
eseejja-sky-1,,eseejja,sky,eya,eya,j a,None,,11,,,,13,j a,,blumpanotacana
eseejja-star-1,,eseejja,star,mahameta,mahameta,m a h a m e t a,None,,14,,,,16,m a h a m e t a,,blumpanotacana
eseejja-lightning-1,,eseejja,lightning,poxexi,poxexi,p o x e x i,None,,15,,,,17,p o x e x i,,blumpanotacana
eseejja-thunder-1,,eseejja,thunder,kʷehi,kʷehi,kʷ e h i,None,,16,,,,18,kʷ e h i,,blumpanotacana
eseejja-thunder-2,,eseejja,thunder,kʷehe,kʷehe,kʷ e h !e/i,None,,16,,,,18,kʷ e h !e/i,,blumpanotacana
eseejja-rainbow-1,,eseejja,rainbow,sihiani,sihiani,s i h i a n i,None,,17,,,,19,s i h i a n i,,blumpanotacana
eseejja-lightradiation-1,,eseejja,lightradiation,heahaʔa-,heahaʔa-,h e a h a ʔ a,None,,18,,,,20,h e a h a ʔ a,,blumpanotacana
eseejja-darkness-1,,eseejja,darkness,-apo,-apo,a p o,None,,19,,,,21,a p o,,blumpanotacana
eseejja-shade-1,,eseejja,shade,e-šawa,e-šawa,ʃ a w a,None,,20,,,,22,ʃ a w a ( - ),,blumpanotacana
eseejja-shade-2,,eseejja,shade,e-axaɲa,e-axaɲa,a x a ɲ a,None,,21,,,,23,a x a ɲ a,,blumpanotacana
eseejja-dew-1,,eseejja,dew,mahametana,mahametana,m a h a m e t a n a,None,,22,,,,24,m a h a m e t a n a,,blumpanotacana
eseejja-dew-2,,eseejja,dew,eši'o,eši'o,ʃ i o,None,,23,,,,25,ʃ i o,,blumpanotacana
eseejja-wind-1,,eseejja,wind,ɓeni,ɓeni,ɓ e n i,None,,24,,,,26,ɓ e n i,,blumpanotacana
eseejja-cloud-1,,eseejja,cloud,ɓo,ɓo,ɓ o,None,,25,,,,27,ɓ o ( - - ),,blumpanotacana
eseejja-cloud-2,,eseejja,cloud,-haʔa,-haʔa,h a ʔ a,None,,26,,,,28,h a ʔ a,,blumpanotacana
eseejja-fog-1,,eseejja,fog,wohaɓo,wohaɓo,w o h a ɓ o,None,,27,,,,29,w o h a ɓ o,,blumpanotacana
eseejja-rainprecipitation-1,,eseejja,rainprecipitation,ena,ena,n a,None,,4,,,,6,n a - - -,,blumpanotacana
eseejja-fire-1,,eseejja,fire,kʷa-ki,kʷa-ki,kʷ a k i,None,,28,,,,30,kʷ a k i,,blumpanotacana
eseejja-smokeexhaust-1,,eseejja,smokeexhaust,wičača,wičača,w i tʃ a tʃ a,None,,29,,,,31,w i tʃ a tʃ a,,blumpanotacana
eseejja-ash-1,,eseejja,ash,kʷaki-powi,kʷaki-powi,kʷ a k i + p o w i,None,,31,,,,30 33,kʷ a k i + p o w i,,blumpanotacana
eseejja-burnsomething-1,,eseejja,burnsomething,kiyo-,kiyo-,k i j o,None,,32,,,,34,k i j o,,blumpanotacana girardprototakanan
eseejja-burning-1,,eseejja,burning,hihi-,hihi-,h i h i,None,,33,,,,35,h i ( h i ),,blumpanotacana
eseejja-lightignite-1,,eseejja,lightignite,hihi-,hihi-,h i h i,None,,33,,,,35,h i ( h i ),,blumpanotacana
eseejja-lightignite-2,,eseejja,lightignite,košo-,košo-,k o ʃ o,None,,34,,,,36,k o ʃ o,,blumpanotacana
eseejja-lightignite-3,,eseejja,lightignite,ɗeʔɗo-,ɗeʔɗo-,ɗ e ʔ ɗ o,None,,35,,,,37,ɗ e ʔ ɗ o,,blumpanotacana
eseejja-extinguish-1,,eseejja,extinguish,čiyo-,čiyo-,tʃ i + j o,None,,36,,,,38 39,tʃ i + j o,,blumpanotacana
eseejja-extinguish-2,,eseejja,extinguish,kixoyo-,kixoyo-,k i x o + j o,None,,37,,,,40 41,k i x o + j o,,blumpanotacana girardprototakanan
eseejja-firewood-1,,eseejja,firewood,kʷa-ki,kʷa-ki,kʷ a k i,None,,28,,,,30,kʷ a k i,,blumpanotacana girardprototakanan
eseejja-firewood-2,,eseejja,firewood,eši,eši,ʃ i,None,,38,,,,42,ʃ i,,blumpanotacana
eseejja-charcoal-1,,eseejja,charcoal,kʷaki-powi,kʷaki-powi,kʷ a k i + p o w i,None,,31,,,,30 33,kʷ a k i + p o w i,,blumpanotacana
eseejja-charcoal-2,,eseejja,charcoal,koxašae,koxašae,k o x a + ʃ a e,None,,39,,,,43 44,k o x a + ʃ a ( e ),,blumpanotacana
eseejja-person-1,,eseejja,person,-dexa,-dexa,d e x a,None,,40,,,,45,d e x a,,blumpanotacana
eseejja-person-2,,eseejja,person,-pona,-pona,p o n a,None,,41,,,,46,p o n a,,blumpanotacana
eseejja-man-1,,eseejja,man,e-ɗexa,e-ɗexa,ɗ e x a,None,,40,,,,45,ɗ e x a,,blumpanotacana
eseejja-boy-1,,eseejja,boy,e-šoʔi-dexa,e-šoʔi-dexa,ʃ o ʔ i + d e x a,None,,42,,,,47 45,( - ) ʃ o ʔ i + d e x a,,blumpanotacana
eseejja-youngman-1,,eseejja,youngman,ešoʔi,ešoʔi,ʃ o ʔ i,None,,43,,,,47,( - ) ʃ o ʔ i,,blumpanotacana
eseejja-youngman-2,,eseejja,youngman,ošoʔi-yawe,ošoʔi-yawe,o ʃ o ʔ i + j a w e,None,,44,,,,47 48,( o ) ʃ o ʔ i + j a w e ( - ),,blumpanotacana
eseejja-girl-1,,eseejja,girl,e-šoʔi-pona,e-šoʔi-pona,ʃ o ʔ i + p o n a,None,,45,,,,47 46,( - ) ʃ o ʔ i + p o n a,,blumpanotacana
eseejja-childyounghuman-1,,eseejja,childyounghuman,e-ɓakʷa,e-ɓakʷa,ɓ a kʷ a,None,,46,,,,49,ɓ a kʷ a,,blumpanotacana
eseejja-baby-1,,eseejja,baby,ešoʔi,ešoʔi,ʃ o ʔ i,None,,43,,,,47,( - ) ʃ o ʔ i,,blumpanotacana
eseejja-husband-1,,eseejja,husband,e-yawe,e-yawe,j a w e,None,,48,,,,48,j a w e ( - ),,blumpanotacana
eseejja-wife-1,,eseejja,wife,e-wanase,e-wanase,w a n a + s e,None,,49,,,,51 52,( - - ) w a n a + s e,,blumpanotacana
eseejja-wife-2,,eseejja,wife,činani,činani,tʃ i n a n i,None,,50,,,,53,tʃ i n a n i,,blumpanotacana
eseejja-marry-1,,eseejja,marry,xawanaki-,xawanaki-,x a w a n a + k i,None,,51,,,,51 54,( x a ) w a n a + k i,,blumpanotacana
eseejja-father-1,,eseejja,father,kaka,kaka,k a k a,None,,52,,,,55,k a k a,,blumpanotacana girardprototakanan
eseejja-olderbrother-1,,eseejja,olderbrother,e-ɗoe,e-ɗoe,ɗ o e,None,,54,,,,57,ɗ o e,,blumpanotacana
eseejja-olderbrother-2,,eseejja,olderbrother,e-nono,e-nono,n o n o,None,,55,,,,58,n o n o,,blumpanotacana
eseejja-youngerbrother-1,,eseejja,youngerbrother,čawa,čawa,tʃ a w a,None,,56,,,,59,tʃ a w a,,blumpanotacana
eseejja-oldersister-1,,eseejja,oldersister,xoʔi,xoʔi,x o ʔ i,None,,57,,,,60,x o ʔ i,,blumpanotacana
eseejja-oldersister-2,,eseejja,oldersister,šewi,šewi,ʃ e + w i,None,,58,,,,61 62,ʃ e - - + w i ),,blumpanotacana
eseejja-youngersister-1,,eseejja,youngersister,čewi,čewi,tʃ e w i,None,,59,,,,63,tʃ e w i,,blumpanotacana
eseejja-oldman-1,,eseejja,oldman,e-dexa-tii,e-dexa-tii,d e x a + t i i,None,,60,,,,45 61,d e x a + t i - i,,blumpanotacana
eseejja-orphan-1,,eseejja,orphan,nae'ma,nae'ma,n a e + m a,None,,62,,,,56 64,n a e + m a,,blumpanotacana
eseejja-orphan-2,,eseejja,orphan,či'ma,či'ma,tʃ i + m a,None,,63,,,,65 64,tʃ i + m a,,blumpanotacana
eseejja-orphan-3,,eseejja,orphan,e-či-mano,e-či-mano,tʃ i + m a n o,None,,64,,,,65 66,tʃ i + m a n o,,blumpanotacana
eseejja-1stsgi-1,,eseejja,1stsgi,e,e,e,None,,65,,,,6657,- e - -,,blumpanotacana
eseejja-thou-1,,eseejja,thou,mi,mi,m i,None,,66,,,,68,m i,,blumpanotacana
eseejja-we-1,,eseejja,we,ekʷana,ekʷana,kʷ a n a,None,,67,,,,69,kʷ a n a,,blumpanotacana
eseejja-you-1,,eseejja,you,mikiana,mikiana,m i + !kj/kʷ a n a,None,,68,,,,68 69,m i + !kj/kʷ a n a,,blumpanotacana
eseejja-they-1,,eseejja,they,okʷana,okʷana,o + kʷ a n a,None,,69,,,,70 69,o + kʷ a n a,,blumpanotacana
eseejja-they-2,,eseejja,they,oyakʷana,oyakʷana,o j a + kʷ a n a,None,,70,,,,71 69,o j a + kʷ a n a,,blumpanotacana
eseejja-animal-1,,eseejja,animal,ixiakaxi,ixiakaxi,i x i a k a x i,None,,71,,,,72,i x i a k a x i,,blumpanotacana
eseejja-pig-1,,eseejja,pig,ɲo,ɲo,ɲ o,None,,72,,,,73,ɲ o,,blumpanotacana
eseejja-pig-2,,eseejja,pig,wo,wo,w o,None,,73,,,,74,w o,,blumpanotacana
eseejja-chicken-1,,eseejja,chicken,kačina-ha-ɓakʷa,kačina-ha-ɓakʷa,k a tʃ i n a + h a + ɓ a kʷ a,None,,74,,,,75 76 77,k a tʃ i n a + h a - + ɓ a kʷ a,,blumpanotacana
eseejja-duck-1,,eseejja,duck,xoxi,xoxi,x o x i,None,,75,,,,78,x o x i,,blumpanotacana girardprototakanan
eseejja-nest-1,,eseejja,nest,xani,xani,x a n i,None,,6,,,,8,x a n i,,blumpanotacana
eseejja-bird-1,,eseejja,bird,kʷičoxi,kʷičoxi,kʷ i tʃ o x i,None,,76,,,,79,kʷ i tʃ o x i,,blumpanotacana
eseejja-vulture-1,,eseejja,vulture,ɓeʔo,ɓeʔo,ɓ e ʔ o,None,,77,,,,80,ɓ e - - - ʔ o -,,blumpanotacana
eseejja-vulture-2,,eseejja,vulture,ɓaɓaʔai,ɓaɓaʔai,ɓ a ɓ a ʔ a i,None,,78,,,,81,ɓ a ɓ a ( ʔ a i ),,blumpanotacana
eseejja-parrot-1,,eseejja,parrot,ičako,ičako,i tʃ a k o,None,,80,,,,83,( i ) tʃ a k o,,blumpanotacana
eseejja-speciesofowl-1,,eseejja,speciesofowl,ɓio-ɓio,ɓio-ɓio,ɓ i o + ɓ i o,None,,81,,,,11 84,ɓ i o + ɓ i o,,blumpanotacana
eseejja-speciesofowl-2,,eseejja,speciesofowl,pexe-pexe,pexe-pexe,p e x e + p e x e,None,,82,,,,85 86,p e x e + p e x e,,blumpanotacana
eseejja-dog-1,,eseejja,dog,iɲaewa,iɲaewa,i ɲ a + e w a,None,,83,,,,837 88,- i ɲ a ( - - ) + - e w a,,blumpanotacana
eseejja-cat-1,,eseejja,cat,miči,miči,m i tʃ i,None,,84,,,,89,m i tʃ i,,blumpanotacana
eseejja-fish-1,,eseejja,fish,hai,hai,h a i,None,,85,,,,90,h a i,,blumpanotacana girardprototakanan
eseejja-deer-1,,eseejja,deer,ɗokʷe-i,ɗokʷe-i,ɗ o kʷ e + i,None,,86,,,,91 92,ɗ o kʷ e ( - - ) + i,,blumpanotacana
eseejja-ant-1,,eseejja,ant,šeme,šeme,ʃ e m e,None,,88,,,,94,ʃ e m e,,blumpanotacana
eseejja-spider-1,,eseejja,spider,ɓaša,ɓaša,ɓ a ʃ a,None,,89,,,,95,ɓ a ʃ a,,blumpanotacana
eseejja-bee-1,,eseejja,bee,wini,wini,w i n i,None,,90,,,,96,w i n i,,blumpanotacana
eseejja-bee-2,,eseejja,bee,meme,meme,m e m e,None,,91,,,,97,m e m e,,blumpanotacana
eseejja-wasp-1,,eseejja,wasp,ɓia,ɓia,ɓ i a,None,,87,,,,93,ɓ i - a,,blumpanotacana
eseejja-flyinsect-1,,eseejja,flyinsect,mee-mee,mee-mee,m e e + m e e,None,,92,,,,98 99,m e e + m e e,,blumpanotacana
eseejja-flyinsect-2,,eseejja,flyinsect,bee,bee,b e e,None,,93,,,,100,b e e,,blumpanotacana
eseejja-mosquito-1,,eseejja,mosquito,ɗi,ɗi,ɗ i,None,,94,,,,101,ɗ i ( - ),,blumpanotacana
eseejja-snake-1,,eseejja,snake,peeyo,peeyo,p e e j o,None,,97,,,,104,p e ( e ) j o,,blumpanotacana
eseejja-snake-2,,eseejja,snake,-ɓakʷa-,-ɓakʷa-,ɓ a kʷ a,None,,98,,,,105,ɓ a kʷ a,,blumpanotacana
eseejja-butterfly-1,,eseejja,butterfly,xapipi,xapipi,x a p i p i,None,,99,,,,106,x a p i p i,,blumpanotacana girardprototakanan
eseejja-snail-1,,eseejja,snail,sixaxa,sixaxa,s i x a x a,None,,100,,,,107,s i x a x a,,blumpanotacana
eseejja-snail-2,,eseejja,snail,šemo,šemo,ʃ e m o,None,,101,,,,108,ʃ e m o,,blumpanotacana
eseejja-frog-1,,eseejja,frog,ena-wio,ena-wio,n a + w i o,None,,102,,,,6 109,n a - - - + w i o,,blumpanotacana
eseejja-frog-2,,eseejja,frog,poxo-poxo,poxo-poxo,p o x o + p o x o,None,,103,,,,110 111,p o x o + p o x o,,blumpanotacana
eseejja-lizard-1,,eseejja,lizard,šanei,šanei,ʃ a n e i,None,,104,,,,112,ʃ a n e i,,blumpanotacana
eseejja-lizard-2,,eseejja,lizard,šaexame,šaexame,ʃ a e x a m e,None,,105,,,,113,ʃ a e x a m e,,blumpanotacana
eseejja-turtle-1,,eseejja,turtle,šapoxene,šapoxene,ʃ a p o x e n e,None,,106,,,,114,ʃ a p o x e n e,,blumpanotacana
eseejja-turtle-2,,eseejja,turtle,ɗaki-ai,ɗaki-ai,ɗ a k i + a i,None,,107,,,,115 116,ɗ a k i + - a - i,,blumpanotacana
eseejja-body-1,,eseejja,body,e-yami,e-yami,j a m i,None,,108,,,,117,j a m i,,blumpanotacana
eseejja-skin-1,,eseejja,skin,e-heei,e-heei,h e e i,None,,109,,,,118,h e ( e i ),,blumpanotacana
eseejja-hairhead-1,,eseejja,hairhead,e-woxaɲa,e-woxaɲa,w o x a + ɲ a,None,,110,,,,119 120,w o x a + ( - ) - ɲ a,,blumpanotacana
eseejja-hairhead-2,,eseejja,hairhead,e-iɲa,e-iɲa,i ɲ a,None,,111,,,,120,( - ) i ɲ a,,blumpanotacana
eseejja-beard-1,,eseejja,beard,e-kʷe-kʷe,e-kʷe-kʷe,kʷ e + kʷ e,None,,112,,,,121 122,kʷ e + kʷ e,,blumpanotacana
eseejja-hairbody-1,,eseejja,hairbody,e-yam-iɲa,e-yam-iɲa,j a m + i ɲ a,None,,113,,,,123 120,j a m + ( - ) i ɲ a,,blumpanotacana
eseejja-blood-1,,eseejja,blood,e'na,e'na,n a,None,,114,,,,124,n a,,blumpanotacana
eseejja-rib-1,,eseejja,rib,e-ɗoxo-xanixi,e-ɗoxo-xanixi,ɗ o x o + x a n i x i,None,,116,,,,126 127,ɗ o x o + x a n i x i,,blumpanotacana
eseejja-hornanatomy-1,,eseejja,hornanatomy,ešiana,ešiana,ʃ i a n a,None,,117,,,,128,( ʃ i ) - a n a,,blumpanotacana
eseejja-tail-1,,eseejja,tail,e-waʔo,e-waʔo,w a ʔ o,None,,118,,,,129,( - ) w a ( ʔ o ),,blumpanotacana
eseejja-back-1,,eseejja,back,e-hakaxa,e-hakaxa,h a + k a x a,None,,119,,,,130 131,h a + k a x a,,blumpanotacana
eseejja-head-1,,eseejja,head,e-sapa,e-sapa,s a + p a,None,,120,,,,125 132,s a - - - ( - ) + p a,,blumpanotacana
eseejja-head-2,,eseejja,head,e-woxa,e-woxa,w o x a,None,,121,,,,119,w o x a,,blumpanotacana
eseejja-brain-1,,eseejja,brain,e-sapa-ɗoxo,e-sapa-ɗoxo,s a + p a + ɗ o x o,None,,122,,,,125 132 133,s a - - - ( - ) + p a + ɗ o x o,,blumpanotacana
eseejja-face-1,,eseejja,face,e-bose,e-bose,b o s e,None,,123,,,,134,b o ( s e ),,blumpanotacana
eseejja-face-2,,eseejja,face,e-šemo,e-šemo,ʃ e m o,None,,124,,,,135,ʃ e m o,,blumpanotacana
eseejja-forehead-1,,eseejja,forehead,e-ɓawa,e-ɓawa,ɓ a w a,None,,125,,,,136,ɓ a w a,,blumpanotacana
eseejja-forehead-2,,eseejja,forehead,e-pawa,e-pawa,p a w a,None,,125,,,,136,p a w a,,blumpanotacana
eseejja-jaw-1,,eseejja,jaw,e-šemo-saʔ,e-šemo-saʔ,ʃ e m o + s !aʔ/a,None,,126,,,,135 125,ʃ e m o + s !aʔ/a - - - ( - ),,blumpanotacana
eseejja-eye-1,,eseejja,eye,e-ko-xa,e-ko-xa,k o x a,None,,127,,,,137,k o x a,,blumpanotacana
eseejja-eyebrow-1,,eseejja,eyebrow,e-ko-xa-šaɲawa,e-ko-xa-šaɲawa,k o x a + ʃ a ɲ a + w a,None,,128,,,,137 138 139,k o x a + ʃ a ɲ a + w a,,blumpanotacana
eseejja-eyelash-1,,eseejja,eyelash,e-ko-xa-ɲa,e-ko-xa-ɲa,k o x a + ɲ a,None,,129,,,,137 120,k o x a + ( - ) - ɲ a,,blumpanotacana
eseejja-eyelash-2,,eseejja,eyelash,e-ko-xa-šaɲawa,e-ko-xa-šaɲawa,k o x a + ʃ a ɲ a + w a,None,,128,,,,137 138 139,k o x a + ʃ a ɲ a + w a,,blumpanotacana
eseejja-ear-1,,eseejja,ear,e-ša-xa,e-ša-xa,ʃ a x a,None,,130,,,,140,ʃ a x a,,blumpanotacana
eseejja-lip-1,,eseejja,lip,e-kʷasa,e-kʷasa,kʷ a s a,None,,133,,,,3331,( - ) kʷ a s a,,blumpanotacana
eseejja-tongue-1,,eseejja,tongue,e-ana,e-ana,a n a,None,,134,,,,144,- a n a,,blumpanotacana
eseejja-neck-1,,eseejja,neck,e-piki,e-piki,p i k i,None,,136,,,,146,p i k i,,blumpanotacana
eseejja-throat-1,,eseejja,throat,e-kahaha,e-kahaha,k a h a h a,None,,137,,,,147,k a h a h a,,blumpanotacana
eseejja-shoulder-1,,eseejja,shoulder,e-ɓaʔaxa,e-ɓaʔaxa,ɓ a ʔ a x a,None,,138,,,,148,ɓ a ( ʔ a x a ),,blumpanotacana
eseejja-shoulder-2,,eseejja,shoulder,e-ɓeyoxo,e-ɓeyoxo,ɓ e + j o x o,None,,139,,,,149 150,ɓ e + j o x o,,blumpanotacana
eseejja-arm-1,,eseejja,arm,e-aa,e-aa,a a,None,,140,,,,151,a - a,,blumpanotacana
eseejja-armpit-1,,eseejja,armpit,enakʷiši,enakʷiši,n a kʷ i ʃ i,None,,141,,,,152,n a kʷ i ʃ i,,blumpanotacana
eseejja-elbow-1,,eseejja,elbow,e-ɓašo,e-ɓašo,ɓ a ʃ o,None,,142,,,,6656,- m.b a ts - o - - -,,blumpanotacana
eseejja-hand-1,,eseejja,hand,e-me,e-me,m e,None,,143,,,,154,m e,,blumpanotacana
eseejja-palmofhand-1,,eseejja,palmofhand,e-me-xoto,e-me-xoto,m e + x o t o,None,,144,,,,154 155,m e + x o t o,,blumpanotacana
eseejja-finger-1,,eseejja,finger,e-me-sisi,e-me-sisi,m e + s i s i,None,,145,,,,154 156,m e + s i s i,,blumpanotacana
eseejja-fingernail-1,,eseejja,fingernail,e-me-kiši,e-me-kiši,m e + k i ʃ i,None,,146,,,,154 863,m e + - k i ʃ i ( - ),,blumpanotacana
eseejja-leg-1,,eseejja,leg,e-kise,e-kise,k i s e,None,,147,,,,159,k i s e,,blumpanotacana
eseejja-leg-2,,eseejja,leg,e-ahoho,e-ahoho,a h o h o,None,,148,,,,160,a h o h o,,blumpanotacana
eseejja-upperlegthigh-1,,eseejja,upperlegthigh,e-kise,e-kise,k i s e,None,,147,,,,159,k i s e,,blumpanotacana
eseejja-knee-1,,eseejja,knee,e-kʷio-šaxa,e-kʷio-šaxa,kʷ i o + ʃ a x a,None,,149,,,,161 140,kʷ i - o + ʃ a x a,,blumpanotacana
eseejja-foot-1,,eseejja,foot,exioxi,exioxi,x i o + x i,None,,150,,,,162 163,x i o + x i,,blumpanotacana
eseejja-heel-1,,eseejja,heel,e-xioxi-kokaxi,e-xioxi-kokaxi,x i o x i + k o k a x i,None,,151,,,,164 165,x i o x i + k o k a x i,,blumpanotacana
eseejja-footprint-1,,eseejja,footprint,exioxi,exioxi,x i o + x i,None,,150,,,,162 163,x i o + x i,,blumpanotacana
eseejja-wing-1,,eseejja,wing,e-kʷičo,e-kʷičo,kʷ i tʃ o,None,,152,,,,166,kʷ i tʃ o,,blumpanotacana
eseejja-feather-1,,eseejja,feather,e-kʷičo,e-kʷičo,kʷ i tʃ o,None,,152,,,,166,kʷ i tʃ o,,blumpanotacana
eseejja-feather-2,,eseejja,feather,ɓoʔɓa,ɓoʔɓa,ɓ !oʔ/o + ɓ a,None,,153,,,,167 168,ɓ !oʔ/o + ɓ a ( - - ),,blumpanotacana
eseejja-feather-3,,eseejja,feather,eɲa,eɲa,ɲ a,None,,111,,,,120,( - ) - ɲ a,,blumpanotacana
eseejja-chest-1,,eseejja,chest,e-seʔo,e-seʔo,s e ʔ o,None,,154,,,,169,s e ʔ o,,blumpanotacana
eseejja-chest-2,,eseejja,chest,e-kʷae,e-kʷae,kʷ a e,None,,155,,,,170,( - ) kʷ a ( e ),,blumpanotacana
eseejja-navel-1,,eseejja,navel,xono,xono,x o n o,None,,157,,,,172,x o n o,,blumpanotacana
eseejja-heart-1,,eseejja,heart,e-kihixi,e-kihixi,k i h i x i,None,,158,,,,173,k i h i ( x i ),,blumpanotacana
eseejja-lung-1,,eseejja,lung,e-šaho,e-šaho,ʃ a h o,None,,159,,,,174,ʃ a - ( h o ),,blumpanotacana
eseejja-lung-2,,eseejja,lung,hekišeha,hekišeha,h e k i + ʃ e + h a,None,,160,,,,175 176 177,h e k i + ʃ e + h a,,blumpanotacana
eseejja-liver-1,,eseejja,liver,e-kakʷa,e-kakʷa,k a + kʷ a,None,,161,,,,178 179,k a + kʷ a,,blumpanotacana
eseejja-liver-2,,eseejja,liver,e-takʷa,e-takʷa,t a + kʷ a,None,,162,,,,180 179,t a ( - ) + kʷ a,,blumpanotacana
eseejja-kidney-1,,eseejja,kidney,e-ɓetete,e-ɓetete,ɓ e t e t e,None,,163,,,,181,ɓ e t e t e,,blumpanotacana
eseejja-stomach-1,,eseejja,stomach,e-maxii,e-maxii,m a x i i,None,,164,,,,182,m a x i i,,blumpanotacana
eseejja-stomach-2,,eseejja,stomach,teexani,teexani,t e e x a n i,None,,165,,,,183,t e e x a n i,,blumpanotacana
eseejja-buttocks-1,,eseejja,buttocks,e-kii,e-kii,k i i,None,,166,,,,184,k i i,,blumpanotacana
eseejja-buttocks-2,,eseejja,buttocks,e-xoɓoča,e-xoɓoča,x o ɓ o tʃ a,None,,167,,,,185,x o ɓ o tʃ a,,blumpanotacana
eseejja-cough-1,,eseejja,cough,oho,oho,o h o,None,,168,,,,4763,- o ( - ) h o ( - ),,blumpanotacana
eseejja-sneeze-1,,eseejja,sneeze,ači-,ači-,a tʃ i,None,,169,,,,187,a tʃ i,,blumpanotacana
eseejja-spit-1,,eseejja,spit,kʷičo-hea-,kʷičo-hea-,kʷ i tʃ o + h e a,None,,170,,,,188 189,kʷ i tʃ o + h e a,,blumpanotacana
eseejja-vomit-1,,eseejja,vomit,ɓowi-,ɓowi-,ɓ o w i,None,,171,,,,190,ɓ o w i,,blumpanotacana
eseejja-bite-1,,eseejja,bite,šowika-,šowika-,ʃ o w i + k a,None,,172,,,,191 178,ʃ o w i + k a,,blumpanotacana girardprototakanan
eseejja-lick-1,,eseejja,lick,sioka-,sioka-,s i o + k a,None,,173,,,,192 178,s i - o + k a,,blumpanotacana girardprototakanan
eseejja-sleep-1,,eseejja,sleep,kawi-,kawi-,k a w i,None,,174,,,,193,k a w i -,,blumpanotacana girardprototakanan
eseejja-sleep-2,,eseejja,sleep,kawe-ani,kawe-ani,k a w e + a n i,None,,175,,,,193 194,k a w e - + a n i,,blumpanotacana
eseejja-snore-1,,eseejja,snore,yaka-nahe,yaka-nahe,j a + k a,None,,176,,,,195 178,j a + k a,,blumpanotacana
eseejja-dreamsomething-1,,eseejja,dreamsomething,xa-kawi-ɓaki-nahe,xa-kawi-ɓaki-nahe,x a + k a w i + ɓ a k i,None,,177,,,,196 193 197,x a + k a w i - + ɓ a k i,,blumpanotacana
eseejja-wakeup-1,,eseejja,wakeup,šeki-,šeki-,ʃ e k i,None,,12,,,,14,( - ) ʃ e k i,,blumpanotacana
eseejja-piss-1,,eseejja,piss,wia-,wia-,w i a,None,,178,,,,198,w i - a,,blumpanotacana
eseejja-shitdefecate-1,,eseejja,shitdefecate,see-,see-,s !ee/e,None,,179,,,,199,( - - ) s !ee/e,,blumpanotacana
eseejja-shiver-1,,eseejja,shiver,peo-peo-nahe,peo-peo-nahe,p e o + p e o,None,,180,,,,200 201,p e o + p e o,,blumpanotacana
eseejja-shiver-2,,eseejja,shiver,kaka-kaka-nahe,kaka-kaka-nahe,k a k a + k a k a,None,,181,,,,202 203,k a k a + k a k a,,blumpanotacana
eseejja-bathe-1,,eseejja,bathe,šeweša-,šeweša-,ʃ e w e + ʃ a,None,,182,,,,204 205,ʃ e w e + ʃ a,,blumpanotacana
eseejja-beborn-1,,eseejja,beborn,kʷaya-,kʷaya-,kʷ a j a,None,,183,,,,206,kʷ a j a,,blumpanotacana
eseejja-kill-1,,eseejja,kill,kekʷa-,kekʷa-,k e kʷ a,None,,184,,,,207,k e kʷ a,,blumpanotacana
eseejja-bury-1,,eseejja,bury,ɓohea-,ɓohea-,ɓ o h e a,None,,185,,,,208,- ɓ o h e a,,blumpanotacana
eseejja-bury-2,,eseejja,bury,owahea-,owahea-,o w a h e a,None,,186,,,,209,o w a h e a,,blumpanotacana
eseejja-mightyorpowerfulorstrong-1,,eseejja,mightyorpowerfulorstrong,xanoɓaximanee,xanoɓaximanee,x a n o ɓ a x i m a n e e,None,,187,,,,210,x a n o ɓ a x i m a n e e,,blumpanotacana
eseejja-sick-1,,eseejja,sick,-mano,-mano,m a n o,None,,188,,,,66,m a n o,,blumpanotacana
eseejja-wound-1,,eseejja,wound,e-kekʷaʔaha,e-kekʷaʔaha,k e kʷ a ʔ a h a,None,,189,,,,211,k e kʷ a ʔ a h a,,blumpanotacana
