ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Partial_Cognacy,Alignment,Morphemes,Dataset
eseejja-tongue-3,,eseejja,tongue,eyana,eyana,e + j a n a,None,,5991,,,,3924 144,e + - a n a,,girardprototakanan valenzuelazariquieypanotakana
eseejja-tongue-4,,eseejja,tongue,y-ana~e-ana,y-ana,j + a n a,None,,5991,,,,2875 144,( - j + - a n a,,girardprototakanan
arasa-tongue-1,,arasa,tongue,eána,eána,e + !á/a n a,None,,5991,,,,3876 144,e + - !á/a n a,,girardprototakanan valenzuelazariquieypanotakana
prototakana-palosanto-1,,prototakana,palosanto,anani,anani,a n a n i,None,,5992,,,,5579,( - a ) n a n i,,girardprototakanan
tacana-palosanto-1,,tacana,palosanto,anani,anani,a n a n i,None,,5992,,,,5579,( - a ) n a n i,,girardprototakanan
cavinena-palosanto-1,,cavinena,palosanto,anani,anani,a n a n i,None,,5992,,,,5579,( - a ) n a n i,,girardprototakanan
eseejja-palosanto-1,,eseejja,palosanto,biñani,biñani,b i ɲ a n i,*bira+anani?,,5992,,,,5579,( b i ) ɲ a n i,,girardprototakanan
prototakana-woman-1,,prototakana,woman,anu,anu,a n u,None,,5993,,,,5580,a n u,,girardprototakanan
tacana-woman-2,,tacana,woman,anu,anu,a n u,None,,5993,,,,5580,a n u,,girardprototakanan
warisa-woman-1,,warisa,woman,ano,ano,a n o,None,,5993,,,,5580,a n o,,girardprototakanan
cavinena-oldwoman-1,,cavinena,oldwoman,ano,ano,a n o,None,,5993,,,,5580,a n o,,girardprototakanan
eseejja-woman-2,,eseejja,woman,ano,ano,a n o,None,,5993,,,,5580,a n o,,girardprototakanan
eseejja-woman-3,,eseejja,woman,áno,áno,!á/a n o,None,,5993,,,,5580,!á/a n o,,girardprototakanan
prototakana-gualusa-1,,prototakana,gualusa,anuʔai,anuʔai,a n u ʔ a i,None,,5994,,,,5581,a n u ʔ a i,,girardprototakanan
tacana-gualusa-1,,tacana,gualusa,anuʔai,anuʔai,a n u ʔ a i,None,,5994,,,,5581,a n u ʔ a i,,girardprototakanan
cavinena-gualusa-1,,cavinena,gualusa,anoʔai,anoʔai,a n o ʔ a i,None,,5994,,,,5581,a n o ʔ a i,,girardprototakanan
prototakana-obscuro-1,,prototakana,obscuro,apu,apu,a p u,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( - - - - - - - - - - - - - - ),,girardprototakanan
tacana-obscuro-1,,tacana,obscuro,apu-,apu-,a p u,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( - - - - - - - - - - - - - - ),,girardprototakanan
tacana-obscuro-2,,tacana,obscuro,apu-da,apu-da,a p u + d a,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + d a - - - - - - - - - - - ),,girardprototakanan
tacana-obscuro-3,,tacana,obscuro,apu-da-su,apu-da-su,a p u + d a + s u,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + d a + s u - - - - - - - - ),,girardprototakanan
tacana-obscuro-4,,tacana,obscuro,apu-da-ya,apu-da-ya,a p u + d a + j a,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + d a - - - - - - - - + j a ),,girardprototakanan
tacana-obscuro-5,,tacana,obscuro,apu-apu,apu-apu,a p u + a p u,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + - a - - - - p u - - - - - ),,girardprototakanan
warisa-obscuro-1,,warisa,obscuro,apo-me,apo-me,a p o + m e,None,,5995,,,,5582,( - - - - - ) a p ( - ) o ( + m e - - - - - - - - - - - ),,girardprototakanan
warisa-obscuro-2,,warisa,obscuro,apumé,apumé,a p u m é/e,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( - - - - - - - - - m é/e - - - ),,girardprototakanan
warisa-obscuro-3,,warisa,obscuro,appume,appume,a p p u m e,None,,5995,,,,5582,( - - - - - ) a p ( p ) u ( - - - - - - - - - m e - - - ),,girardprototakanan
cavinena-obscuro-1,,cavinena,obscuro,apo-apo,apo-apo,a p o + a p o,"concepts 'obscuro,madrugada' taken from Armentia",,5996,,,,5583,( - - - - - - - - ) a p o ( + - a - p o - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-2,,cavinena,obscuro,apo-da-hodya,apo-da-hodya,a p o + d a + h o d j a,None,,5997,,,,5584,( - - - - - - - - ) a p o ( + d a + h o - - - - - - - - - d j a ),,girardprototakanan
cavinena-obscuro-3,,cavinena,obscuro,apo-da-ke,apo-da-ke,a p o + d a + k e,None,,5998,,,,5585,( - - - - - - - - ) a p o ( + d a + k e - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-4,,cavinena,obscuro,apo-,apo-,a p o,None,,5999,,,,5586,( - - - - - - - - ) a p o ( - - - - - - - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-5,,cavinena,obscuro,apo-taho,apo-taho,a p o + t a h o,None,,6000,,,,5587,( - - - - - - - - ) a p o ( + t a - h o - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-6,,cavinena,obscuro,apo-ta-,apo-ta-,a p o + t a,None,,6001,,,,5588,( - - - - - - - - ) a p o ( + t a - - - - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-7,,cavinena,obscuro,e-apo-tato apo-deda-,e-apo-tato_apo-deda-,e + a p o + t a t o + a p o + d e d a,None,,6002,,,,5589,( - e + - - - - - ) a p o ( + t a - t o - - + a p o + d e d - a ),,girardprototakanan
cavinena-obscuro-8,,cavinena,obscuro,e-heti-apo-ta,e-heti-apo-ta,e + h e t i + a p o + t a,None,,6003,,,,5590,( - e + h e t i + ) a p o ( + t a - - - - - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-9,,cavinena,obscuro,apuna,apuna,a p u n a,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( - n a - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-10,,cavinena,obscuro,apu-paisa,apu-paisa,a p u + p a i s a,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + p a - - - i s a - - - - - ),,girardprototakanan
cavinena-obscuro-11,,cavinena,obscuro,k-apu-ti,k-apu-ti,k + a p u + t i,None,,5995,,,,5582,( k - + - - ) a p ( - ) u ( + t i - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-12,,cavinena,obscuro,k-apu-ta,k-apu-ta,k + a p u + t a,None,,5995,,,,5582,( k - + - - ) a p ( - ) u ( + t a - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-13,,cavinena,obscuro,k-apu-tahu,k-apu-tahu,k + a p u + t a h u,None,,5995,,,,5582,( k - + - - ) a p ( - ) u ( + t a - h u - - - - - - - - ),,girardprototakanan
cavinena-obscuro-14,,cavinena,obscuro,e-apu-ta,e-apu-ta,e + a p u + t a,None,,5995,,,,5582,( - e + - - ) a p ( - ) u ( + t a - - - - - - - - - - - ),,girardprototakanan
cavinena-obscuro-15,,cavinena,obscuro,pube,pube,p u b e,None,,6004,,,,5591,( - - - - - - - - ) - p u ( - - - - - - - - - - - - - b e - - - ),,girardprototakanan
cavinena-obscuro-16,,cavinena,obscuro,puenrurusisama,puenrurusisama,p u e n r u r u s i s a m a,None,,6005,,,,5592,( - - - - - - - - ) - p u ( - e n - r u r u s i s a - m a - - - ),,girardprototakanan
cavinena-obscuro-17,,cavinena,obscuro,apu-da,apu-da,a p u + d a,None,,5995,,,,5582,( - - - - - ) a p ( - ) u ( + d a - - - - - - - - - - - ),,girardprototakanan
eseejja-obscuro-1,,eseejja,obscuro,kea-ʔapo,kea-ʔapo,k e a + ʔ a p o,None,,5995,,,,5582,( k e a + ʔ ) a p ( - ) o ( - - - - - - - - - - - - - - ),,girardprototakanan
prototakana-creceragrandar-1,,prototakana,creceragrandar,ari-,ari-,a r i,None,,6006,,,,5593,( - - - - - - - ) a r i ( - - - - - - - - - - - - - - - ),,girardprototakanan
tacana-creceragrandar-1,,tacana,creceragrandar,ai-,ai-,a i,None,,6006,,,,5593,( - - - - - - - ) a - i ( - - - - - - - - - - - - - - - ),,girardprototakanan
tacana-creceragrandar-2,,tacana,creceragrandar,ai-da,ai-da,a i + d a,None,,6006,,,,5593,( - - - - - - - ) a - i ( + - - - - - - d a - - - - - - ),,girardprototakanan
warisa-creceragrandar-1,,warisa,creceragrandar,ai-me,ai-me,a i + m e,None,,6006,,,,5593,( - - - - - - - ) a - i ( + m e - - - - - - - - - - - - ),,girardprototakanan
warisa-creceragrandar-2,,warisa,creceragrandar,-aymi in etaiaymi,-aymi_in_etaiaymi,a j m i + i n + e t a i a j m i,None,,6006,,,,5593,( - - - - - - - ) a - j ( - m i + i n + e t a i a j m i ),,girardprototakanan
warisa-creceragrandar-3,,warisa,creceragrandar,haymi,haymi,h a j m i,None,,6006,,,,5593,( - - - - - - h ) a - j ( - m i - - - - - - - - - - - - ),,girardprototakanan
warisa-creceragrandar-4,,warisa,creceragrandar,ai-,ai-,a i,None,,6006,,,,5593,( - - - - - - - ) a - i ( - - - - - - - - - - - - - - - ),,girardprototakanan
cavinena-creceragrandar-1,,cavinena,creceragrandar,ari-,ari-,a r i,None,,6006,,,,5593,( - - - - - - - ) a r i ( - - - - - - - - - - - - - - - ),,girardprototakanan
cavinena-creceragrandar-2,,cavinena,creceragrandar,ari-da,ari-da,a r i + d a,None,,6006,,,,5593,( - - - - - - - ) a r i ( + - - - - - - d a - - - - - - ),,girardprototakanan
